x[m];y[m];z[m];N_ip[MN];V_ip[MN];V_op[MN]
0.5;7.0;0.92700050739;0.00814278662598;1.13762081352e-14;-9.27083333809e-06
1.5;7.0;0.926999955989;0.000156785751703;-2.3345583279e-15;-9.27083332679e-06
2.5;7.0;0.926999205656;3.17647113155e-05;-4.25278302157e-15;-1.09562888972e-05
3.5;7.0;0.927000002831;-0.00120274921767;5.57193180484e-15;-5.03813581609e-06
4.5;7.0;0.926999205656;-0.00369061414726;-5.3234326669e-16;1.6003568004e-06
5.5;7.0;0.926999955989;-0.00816111397462;-7.30296899343e-15;1.35416665925e-06
6.5;7.0;0.92700050739;0.0137630962444;4.66824929407e-15;1.35416666883e-06
7.5;7.0;0.92700050739;-0.00813542183224;3.18614492428e-15;-7.49999999903e-06
8.5;7.0;0.926999955989;0.00865295325586;-1.68344071322e-15;-7.49999999721e-06
9.5;7.0;0.926999205656;0.00388821926184;-9.27426538344e-16;-8.8635146064e-06
11.5;7.0;0.926999205656;0.000188574357516;-3.93952990889e-15;1.6003567995e-06
12.5;7.0;0.926999955989;0.000128055484045;4.44585232344e-15;1.3541666521e-06
13.5;7.0;0.92700050739;-0.0011232050388;3.96778015175e-15;1.35416666708e-06
7.0;0.5;0.927000505214;-0.0027018272617;2.10768902331e-16;0.00198109381197
7.0;1.5;0.926999954865;0.000808486517032;3.5344990823e-17;0.0014947729603
7.0;2.5;0.926999199743;0.00063908479665;-1.2490009027e-16;0.00129119557991
7.0;3.5;0.927;0.000144086520436;-4.11996825544e-17;0.00112410753241
7.0;4.5;0.926999199743;0.000229114328285;2.3722343534e-16;0.00173571161515
7.0;5.5;0.926999954865;0.000154718772366;1.14708589849e-16;0.00189400349406
7.0;6.5;0.927000505214;-0.00223829991846;8.02309607639e-17;0.00170284579698
