Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
1;0.050;0.050;-3.160
2;0.050;0.150;-3.160
3;0.050;0.250;-3.160
4;0.050;0.350;-3.160
5;0.050;0.450;-3.160
6;0.050;0.550;-3.160
7;0.050;0.650;-3.160
8;0.050;0.750;-3.160
9;0.050;0.850;-3.160
10;0.050;0.950;-3.160
11;0.050;1.050;-3.160
12;0.050;1.150;-3.160
13;0.050;1.250;-3.160
14;0.050;1.350;-3.160
15;0.050;1.450;-3.160
16;0.050;1.550;-3.160
17;0.050;1.650;-3.160
18;0.050;1.750;-3.160
19;0.050;1.850;-3.160
20;0.050;1.950;-3.160
21;0.050;2.050;-3.160
22;0.050;2.150;-3.160
23;0.050;2.250;-3.160
24;0.050;2.350;-3.160
25;0.050;2.450;-3.160
26;0.050;2.550;-3.160
27;0.050;2.650;-3.160
28;0.050;2.750;-3.160
29;0.050;2.850;-3.160
30;0.050;2.950;-3.160
31;0.050;3.050;-3.160
32;0.050;3.150;-3.160
33;0.050;3.250;-3.160
34;0.050;3.350;-3.160
35;0.050;3.450;-3.160
36;0.150;0.050;-3.160
37;0.150;0.150;-3.160
38;0.150;0.250;-3.160
39;0.150;0.350;-3.160
40;0.150;0.450;-3.160
41;0.150;0.550;-3.160
42;0.150;0.650;-3.160
43;0.150;0.750;-3.160
44;0.150;0.850;-3.160
45;0.150;0.950;-3.160
46;0.150;1.050;-3.160
47;0.150;1.150;-3.160
48;0.150;1.250;-3.160
49;0.150;1.350;-3.160
50;0.150;1.450;-3.160
51;0.150;1.550;-3.160
52;0.150;1.650;-3.160
53;0.150;1.750;-3.160
54;0.150;1.850;-3.160
55;0.150;1.950;-3.160
56;0.150;2.050;-3.160
57;0.150;2.150;-3.160
58;0.150;2.250;-3.160
59;0.150;2.350;-3.160
60;0.150;2.450;-3.160
61;0.150;2.550;-3.160
62;0.150;2.650;-3.160
63;0.150;2.750;-3.160
64;0.150;2.850;-3.160
65;0.150;2.950;-3.160
66;0.150;3.050;-3.160
67;0.150;3.150;-3.160
68;0.150;3.250;-3.160
69;0.150;3.350;-3.160
70;0.150;3.450;-3.160
71;0.250;0.050;-3.160
72;0.250;0.150;-3.160
73;0.250;0.250;-3.160
74;0.250;0.350;-3.160
75;0.250;0.450;-3.160
76;0.250;0.550;-3.160
77;0.250;0.650;-3.160
78;0.250;0.750;-3.160
79;0.250;0.850;-3.160
80;0.250;0.950;-3.160
81;0.250;1.050;-3.160
82;0.250;1.150;-3.160
83;0.250;1.250;-3.160
84;0.250;1.350;-3.160
85;0.250;1.450;-3.160
86;0.250;1.550;-3.160
87;0.250;1.650;-3.160
88;0.250;1.750;-3.160
89;0.250;1.850;-3.160
90;0.250;1.950;-3.160
91;0.250;2.050;-3.160
92;0.250;2.150;-3.160
93;0.250;2.250;-3.160
94;0.250;2.350;-3.160
95;0.250;2.450;-3.160
96;0.250;2.550;-3.160
97;0.250;2.650;-3.160
98;0.250;2.750;-3.160
99;0.250;2.850;-3.160
100;0.250;2.950;-3.160
101;0.250;3.050;-3.160
102;0.250;3.150;-3.160
103;0.250;3.250;-3.160
104;0.250;3.350;-3.160
105;0.250;3.450;-3.160
106;0.350;0.050;-3.160
107;0.350;0.150;-3.160
108;0.350;0.250;-3.160
109;0.350;0.350;-3.160
110;0.350;0.450;-3.160
111;0.350;0.550;-3.160
112;0.350;0.650;-3.160
113;0.350;0.750;-3.160
114;0.350;0.850;-3.160
115;0.350;0.950;-3.160
116;0.350;1.050;-3.160
117;0.350;1.150;-3.160
118;0.350;1.250;-3.160
119;0.350;1.350;-3.160
120;0.350;1.450;-3.160
121;0.350;1.550;-3.160
122;0.350;1.650;-3.160
123;0.350;1.750;-3.160
124;0.350;1.850;-3.160
125;0.350;1.950;-3.160
126;0.350;2.050;-3.160
127;0.350;2.150;-3.160
128;0.350;2.250;-3.160
129;0.350;2.350;-3.160
130;0.350;2.450;-3.160
131;0.350;2.550;-3.160
132;0.350;2.650;-3.160
133;0.350;2.750;-3.160
134;0.350;2.850;-3.160
135;0.350;2.950;-3.160
136;0.350;3.050;-3.160
137;0.350;3.150;-3.160
138;0.350;3.250;-3.160
139;0.350;3.350;-3.160
140;0.350;3.450;-3.160
141;0.450;0.050;-3.160
142;0.450;0.150;-3.160
143;0.450;0.250;-3.160
144;0.450;0.350;-3.160
145;0.450;0.450;-3.160
146;0.450;0.550;-3.160
147;0.450;0.650;-3.160
148;0.450;0.750;-3.160
149;0.450;0.850;-3.160
150;0.450;0.950;-3.160
151;0.450;1.050;-3.160
152;0.450;1.150;-3.160
153;0.450;1.250;-3.160
154;0.450;1.350;-3.160
155;0.450;1.450;-3.160
156;0.450;1.550;-3.160
157;0.450;1.650;-3.160
158;0.450;1.750;-3.160
159;0.450;1.850;-3.160
160;0.450;1.950;-3.160
161;0.450;2.050;-3.160
162;0.450;2.150;-3.160
163;0.450;2.250;-3.160
164;0.450;2.350;-3.160
165;0.450;2.450;-3.160
166;0.450;2.550;-3.160
167;0.450;2.650;-3.160
168;0.450;2.750;-3.160
169;0.450;2.850;-3.160
170;0.450;2.950;-3.160
171;0.450;3.050;-3.160
172;0.450;3.150;-3.160
173;0.450;3.250;-3.160
174;0.450;3.350;-3.160
175;0.450;3.450;-3.160
176;0.550;0.050;-3.160
177;0.550;0.150;-3.160
178;0.550;0.250;-3.160
179;0.550;0.350;-3.160
180;0.550;0.450;-3.160
181;0.550;0.550;-3.160
182;0.550;0.650;-3.160
183;0.550;0.750;-3.160
184;0.550;0.850;-3.160
185;0.550;0.950;-3.160
186;0.550;1.050;-3.160
187;0.550;1.150;-3.160
188;0.550;1.250;-3.160
189;0.550;1.350;-3.160
190;0.550;1.450;-3.160
191;0.550;1.550;-3.160
192;0.550;1.650;-3.160
193;0.550;1.750;-3.160
194;0.550;1.850;-3.160
195;0.550;1.950;-3.160
196;0.550;2.050;-3.160
197;0.550;2.150;-3.160
198;0.550;2.250;-3.160
199;0.550;2.350;-3.160
200;0.550;2.450;-3.160
201;0.550;2.550;-3.160
202;0.550;2.650;-3.160
203;0.550;2.750;-3.160
204;0.550;2.850;-3.160
205;0.550;2.950;-3.160
206;0.550;3.050;-3.160
207;0.550;3.150;-3.160
208;0.550;3.250;-3.160
209;0.550;3.350;-3.160
210;0.550;3.450;-3.160
211;0.650;0.050;-3.160
212;0.650;0.150;-3.160
213;0.650;0.250;-3.160
214;0.650;0.350;-3.160
215;0.650;0.450;-3.160
216;0.650;0.550;-3.160
217;0.650;0.650;-3.160
218;0.650;0.750;-3.160
219;0.650;0.850;-3.160
220;0.650;0.950;-3.160
221;0.650;1.050;-3.160
222;0.650;1.150;-3.160
223;0.650;1.250;-3.160
224;0.650;1.350;-3.160
225;0.650;1.450;-3.160
226;0.650;1.550;-3.160
227;0.650;1.650;-3.160
228;0.650;1.750;-3.160
229;0.650;1.850;-3.160
230;0.650;1.950;-3.160
231;0.650;2.050;-3.160
232;0.650;2.150;-3.160
233;0.650;2.250;-3.160
234;0.650;2.350;-3.160
235;0.650;2.450;-3.160
236;0.650;2.550;-3.160
237;0.650;2.650;-3.160
238;0.650;2.750;-3.160
239;0.650;2.850;-3.160
240;0.650;2.950;-3.160
241;0.650;3.050;-3.160
242;0.650;3.150;-3.160
243;0.650;3.250;-3.160
244;0.650;3.350;-3.160
245;0.650;3.450;-3.160
246;0.750;0.050;-3.160
247;0.750;0.150;-3.160
248;0.750;0.250;-3.160
249;0.750;0.350;-3.160
250;0.750;0.450;-3.160
251;0.750;0.550;-3.160
252;0.750;0.650;-3.160
253;0.750;0.750;-3.160
254;0.750;0.850;-3.160
255;0.750;0.950;-3.160
256;0.750;1.050;-3.160
257;0.750;1.150;-3.160
258;0.750;1.250;-3.160
259;0.750;1.350;-3.160
260;0.750;1.450;-3.160
261;0.750;1.550;-3.160
262;0.750;1.650;-3.160
263;0.750;1.750;-3.160
264;0.750;1.850;-3.160
265;0.750;1.950;-3.160
266;0.750;2.050;-3.160
267;0.750;2.150;-3.160
268;0.750;2.250;-3.160
269;0.750;2.350;-3.160
270;0.750;2.450;-3.160
271;0.750;2.550;-3.160
272;0.750;2.650;-3.160
273;0.750;2.750;-3.160
274;0.750;2.850;-3.160
275;0.750;2.950;-3.160
276;0.750;3.050;-3.160
277;0.750;3.150;-3.160
278;0.750;3.250;-3.160
279;0.750;3.350;-3.160
280;0.750;3.450;-3.160
281;0.850;0.050;-3.160
282;0.850;0.150;-3.160
283;0.850;0.250;-3.160
284;0.850;0.350;-3.160
285;0.850;0.450;-3.160
286;0.850;0.550;-3.160
287;0.850;0.650;-3.160
288;0.850;0.750;-3.160
289;0.850;0.850;-3.160
290;0.850;0.950;-3.160
291;0.850;1.050;-3.160
292;0.850;1.150;-3.160
293;0.850;1.250;-3.160
294;0.850;1.350;-3.160
295;0.850;1.450;-3.160
296;0.850;1.550;-3.160
297;0.850;1.650;-3.160
298;0.850;1.750;-3.160
299;0.850;1.850;-3.160
300;0.850;1.950;-3.160
301;0.850;2.050;-3.160
302;0.850;2.150;-3.160
303;0.850;2.250;-3.160
304;0.850;2.350;-3.160
305;0.850;2.450;-3.160
306;0.850;2.550;-3.160
307;0.850;2.650;-3.160
308;0.850;2.750;-3.160
309;0.850;2.850;-3.160
310;0.850;2.950;-3.160
311;0.850;3.050;-3.160
312;0.850;3.150;-3.160
313;0.850;3.250;-3.160
314;0.850;3.350;-3.160
315;0.850;3.450;-3.160
316;0.950;0.050;-3.160
317;0.950;0.150;-3.160
318;0.950;0.250;-3.160
319;0.950;0.350;-3.160
320;0.950;0.450;-3.160
321;0.950;0.550;-3.160
322;0.950;0.650;-3.160
323;0.950;0.750;-3.160
324;0.950;0.850;-3.160
325;0.950;0.950;-3.160
326;0.950;1.050;-3.160
327;0.950;1.150;-3.160
328;0.950;1.250;-3.160
329;0.950;1.350;-3.160
330;0.950;1.450;-3.160
331;0.950;1.550;-3.160
332;0.950;1.650;-3.160
333;0.950;1.750;-3.160
334;0.950;1.850;-3.160
335;0.950;1.950;-3.160
336;0.950;2.050;-3.160
337;0.950;2.150;-3.160
338;0.950;2.250;-3.160
339;0.950;2.350;-3.160
340;0.950;2.450;-3.160
341;0.950;2.550;-3.160
342;0.950;2.650;-3.160
343;0.950;2.750;-3.160
344;0.950;2.850;-3.160
345;0.950;2.950;-3.160
346;0.950;3.050;-3.160
347;0.950;3.150;-3.160
348;0.950;3.250;-3.160
349;0.950;3.350;-3.160
350;0.950;3.450;-3.160
351;1.050;0.050;-3.160
352;1.050;0.150;-3.160
353;1.050;0.250;-3.160
354;1.050;0.350;-3.160
355;1.050;0.450;-3.160
356;1.050;0.550;-3.160
357;1.050;0.650;-3.160
358;1.050;0.750;-3.160
359;1.050;0.850;-3.160
360;1.050;0.950;-3.160
361;1.050;1.050;-3.160
362;1.050;1.150;-3.160
363;1.050;1.250;-3.160
364;1.050;1.350;-3.160
365;1.050;1.450;-3.160
366;1.050;1.550;-3.160
367;1.050;1.650;-3.160
368;1.050;1.750;-3.160
369;1.050;1.850;-3.160
370;1.050;1.950;-3.160
371;1.050;2.050;-3.160
372;1.050;2.150;-3.160
373;1.050;2.250;-3.160
374;1.050;2.350;-3.160
375;1.050;2.450;-3.160
376;1.050;2.550;-3.160
377;1.050;2.650;-3.160
378;1.050;2.750;-3.160
379;1.050;2.850;-3.160
380;1.050;2.950;-3.160
381;1.050;3.050;-3.160
382;1.050;3.150;-3.160
383;1.050;3.250;-3.160
384;1.050;3.350;-3.160
385;1.050;3.450;-3.160
386;1.150;0.050;-3.160
387;1.150;0.150;-3.160
388;1.150;0.250;-3.160
389;1.150;0.350;-3.160
390;1.150;0.450;-3.160
391;1.150;0.550;-3.160
392;1.150;0.650;-3.160
393;1.150;0.750;-3.160
394;1.150;0.850;-3.160
395;1.150;0.950;-3.160
396;1.150;1.050;-3.160
397;1.150;1.150;-3.160
398;1.150;1.250;-3.160
399;1.150;1.350;-3.160
400;1.150;1.450;-3.160
401;1.150;1.550;-3.160
402;1.150;1.650;-3.160
403;1.150;1.750;-3.160
404;1.150;1.850;-3.160
405;1.150;1.950;-3.160
406;1.150;2.050;-3.160
407;1.150;2.150;-3.160
408;1.150;2.250;-3.160
409;1.150;2.350;-3.160
410;1.150;2.450;-3.160
411;1.150;2.550;-3.160
412;1.150;2.650;-3.160
413;1.150;2.750;-3.160
414;1.150;2.850;-3.160
415;1.150;2.950;-3.160
416;1.150;3.050;-3.160
417;1.150;3.150;-3.160
418;1.150;3.250;-3.160
419;1.150;3.350;-3.160
420;1.150;3.450;-3.160
421;1.250;0.050;-3.160
422;1.250;0.150;-3.160
423;1.250;0.250;-3.160
424;1.250;0.350;-3.160
425;1.250;0.450;-3.160
426;1.250;0.550;-3.160
427;1.250;0.650;-3.160
428;1.250;0.750;-3.160
429;1.250;0.850;-3.160
430;1.250;0.950;-3.160
431;1.250;1.050;-3.160
432;1.250;1.150;-3.160
433;1.250;1.250;-3.160
434;1.250;1.350;-3.160
435;1.250;1.450;-3.160
436;1.250;1.550;-3.160
437;1.250;1.650;-3.160
