Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
1;-3.375;-3.375;0.000
2;-3.375;-3.125;0.000
3;-3.375;-2.875;0.000
4;-3.375;-2.625;0.000
5;-3.375;-2.375;0.000
6;-3.375;-2.125;0.000
7;-3.375;-1.875;0.000
8;-3.375;-1.625;0.000
9;-3.375;-1.375;0.000
10;-3.375;-1.125;0.000
11;-3.375;-0.875;0.000
12;-3.375;-0.625;0.000
13;-3.375;-0.375;0.000
14;-3.375;-0.125;0.000
15;-3.125;-3.375;0.000
16;-3.125;-3.125;0.000
17;-3.125;-2.875;0.000
18;-3.125;-2.625;0.000
19;-3.125;-2.375;0.000
20;-3.125;-2.125;0.000
21;-3.125;-1.875;0.000
22;-3.125;-1.625;0.000
23;-3.125;-1.375;0.000
24;-3.125;-1.125;0.000
25;-3.125;-0.875;0.000
26;-3.125;-0.625;0.000
27;-3.125;-0.375;0.000
28;-3.125;-0.125;0.000
29;-2.875;-3.375;0.000
30;-2.875;-3.125;0.000
31;-2.875;-2.875;0.000
32;-2.875;-2.625;0.000
33;-2.875;-2.375;0.000
34;-2.875;-2.125;0.000
35;-2.875;-1.875;0.000
36;-2.875;-1.625;0.000
37;-2.875;-1.375;0.000
38;-2.875;-1.125;0.000
39;-2.875;-0.875;0.000
40;-2.875;-0.625;0.000
41;-2.875;-0.375;0.000
42;-2.875;-0.125;0.000
43;-2.625;-3.375;0.000
44;-2.625;-3.125;0.000
45;-2.625;-2.875;0.000
46;-2.625;-2.625;0.000
47;-2.625;-2.375;0.000
48;-2.625;-2.125;0.000
49;-2.625;-1.875;0.000
50;-2.625;-1.625;0.000
51;-2.625;-1.375;0.000
52;-2.625;-1.125;0.000
53;-2.625;-0.875;0.000
54;-2.625;-0.625;0.000
55;-2.625;-0.375;0.000
56;-2.625;-0.125;0.000
57;-2.375;-3.375;0.000
58;-2.375;-3.125;0.000
59;-2.375;-2.875;0.000
60;-2.375;-2.625;0.000
61;-2.375;-2.375;0.000
62;-2.375;-2.125;0.000
63;-2.375;-1.875;0.000
64;-2.375;-1.625;0.000
65;-2.375;-1.375;0.000
66;-2.375;-1.125;0.000
67;-2.375;-0.875;0.000
68;-2.375;-0.625;0.000
69;-2.375;-0.375;0.000
70;-2.375;-0.125;0.000
71;-2.125;-3.375;0.000
72;-2.125;-3.125;0.000
73;-2.125;-2.875;0.000
74;-2.125;-2.625;0.000
75;-2.125;-2.375;0.000
76;-2.125;-2.125;0.000
77;-2.125;-1.875;0.000
78;-2.125;-1.625;0.000
79;-2.125;-1.375;0.000
80;-2.125;-1.125;0.000
81;-2.125;-0.875;0.000
82;-2.125;-0.625;0.000
83;-2.125;-0.375;0.000
84;-2.125;-0.125;0.000
85;-1.875;-3.375;0.000
86;-1.875;-3.125;0.000
87;-1.875;-2.875;0.000
88;-1.875;-2.625;0.000
89;-1.875;-2.375;0.000
90;-1.875;-2.125;0.000
91;-1.875;-1.875;0.000
92;-1.875;-1.625;0.000
93;-1.875;-1.375;0.000
94;-1.875;-1.125;0.000
95;-1.875;-0.875;0.000
96;-1.875;-0.625;0.000
97;-1.875;-0.375;0.000
98;-1.875;-0.125;0.000
99;-1.625;-3.375;0.000
100;-1.625;-3.125;0.000
101;-1.625;-2.875;0.000
102;-1.625;-2.625;0.000
103;-1.625;-2.375;0.000
104;-1.625;-2.125;0.000
105;-1.625;-1.875;0.000
106;-1.625;-1.625;0.000
107;-1.625;-1.375;0.000
108;-1.625;-1.125;0.000
109;-1.625;-0.875;0.000
110;-1.625;-0.625;0.000
111;-1.625;-0.375;0.000
112;-1.625;-0.125;0.000
113;-1.375;-3.375;0.000
114;-1.375;-3.125;0.000
115;-1.375;-2.875;0.000
116;-1.375;-2.625;0.000
117;-1.375;-2.375;0.000
118;-1.375;-2.125;0.000
119;-1.375;-1.875;0.000
120;-1.375;-1.625;0.000
121;-1.375;-1.375;0.000
122;-1.375;-1.125;0.000
123;-1.375;-0.875;0.000
124;-1.375;-0.625;0.000
125;-1.375;-0.375;0.000
126;-1.375;-0.125;0.000
127;-1.125;-3.375;0.000
128;-1.125;-3.125;0.000
129;-1.125;-2.875;0.000
130;-1.125;-2.625;0.000
131;-1.125;-2.375;0.000
132;-1.125;-2.125;0.000
133;-1.125;-1.875;0.000
134;-1.125;-1.625;0.000
135;-1.125;-1.375;0.000
136;-1.125;-1.125;0.000
137;-1.125;-0.875;0.000
138;-1.125;-0.625;0.000
139;-1.125;-0.375;0.000
140;-1.125;-0.125;0.000
141;-0.875;-3.375;0.000
142;-0.875;-3.125;0.000
143;-0.875;-2.875;0.000
144;-0.875;-2.625;0.000
145;-0.875;-2.375;0.000
146;-0.875;-2.125;0.000
147;-0.875;-1.875;0.000
148;-0.875;-1.625;0.000
149;-0.875;-1.375;0.000
150;-0.875;-1.125;0.000
151;-0.875;-0.875;0.000
152;-0.875;-0.625;0.000
153;-0.875;-0.375;0.000
154;-0.875;-0.125;0.000
155;-0.625;-3.375;0.000
156;-0.625;-3.125;0.000
157;-0.625;-2.875;0.000
158;-0.625;-2.625;0.000
159;-0.625;-2.375;0.000
160;-0.625;-2.125;0.000
161;-0.625;-1.875;0.000
162;-0.625;-1.625;0.000
163;-0.625;-1.375;0.000
164;-0.625;-1.125;0.000
165;-0.625;-0.875;0.000
166;-0.625;-0.625;0.000
167;-0.625;-0.375;0.000
168;-0.625;-0.125;0.000
169;-0.375;-3.375;0.000
170;-0.375;-3.125;0.000
171;-0.375;-2.875;0.000
172;-0.375;-2.625;0.000
173;-0.375;-2.375;0.000
174;-0.375;-2.125;0.000
175;-0.375;-1.875;0.000
176;-0.375;-1.625;0.000
177;-0.375;-1.375;0.000
178;-0.375;-1.125;0.000
179;-0.375;-0.875;0.000
180;-0.375;-0.625;0.000
181;-0.375;-0.375;0.000
182;-0.375;-0.125;0.000
183;-0.125;-3.375;0.000
184;-0.125;-3.125;0.000
185;-0.125;-2.875;0.000
186;-0.125;-2.625;0.000
187;-0.125;-2.375;0.000
188;-0.125;-2.125;0.000
189;-0.125;-1.875;0.000
190;-0.125;-1.625;0.000
191;-0.125;-1.375;0.000
192;-0.125;-1.125;0.000
193;-0.125;-0.875;0.000
194;-0.125;-0.625;0.000
195;-0.125;-0.375;0.000
196;-0.125;-0.125;0.000
197;0.125;-3.375;0.000
198;0.125;-3.125;0.000
199;0.125;-2.875;0.000
200;0.125;-2.625;0.000
201;0.125;-2.375;0.000
202;0.125;-2.125;0.000
203;0.125;-1.875;0.000
204;0.125;-1.625;0.000
205;0.125;-1.375;0.000
206;0.125;-1.125;0.000
207;0.125;-0.875;0.000
208;0.125;-0.625;0.000
209;0.125;-0.375;0.000
210;0.125;-0.125;0.000
211;0.375;-3.375;0.000
212;0.375;-3.125;0.000
213;0.375;-2.875;0.000
214;0.375;-2.625;0.000
215;0.375;-2.375;0.000
216;0.375;-2.125;0.000
217;0.375;-1.875;0.000
218;0.375;-1.625;0.000
219;0.375;-1.375;0.000
220;0.375;-1.125;0.000
221;0.375;-0.875;0.000
222;0.375;-0.625;0.000
223;0.375;-0.375;0.000
224;0.375;-0.125;0.000
225;0.625;-3.375;0.000
226;0.625;-3.125;0.000
227;0.625;-2.875;0.000
228;0.625;-2.625;0.000
229;0.625;-2.375;0.000
230;0.625;-2.125;0.000
231;0.625;-1.875;0.000
232;0.625;-1.625;0.000
233;0.625;-1.375;0.000
234;0.625;-1.125;0.000
235;0.625;-0.875;0.000
236;0.625;-0.625;0.000
237;0.625;-0.375;0.000
238;0.625;-0.125;0.000
239;0.875;-3.375;0.000
240;0.875;-3.125;0.000
241;0.875;-2.875;0.000
242;0.875;-2.625;0.000
243;0.875;-2.375;0.000
244;0.875;-2.125;0.000
245;0.875;-1.875;0.000
246;0.875;-1.625;0.000
247;0.875;-1.375;0.000
248;0.875;-1.125;0.000
249;0.875;-0.875;0.000
250;0.875;-0.625;0.000
251;0.875;-0.375;0.000
252;0.875;-0.125;0.000
253;1.125;-3.375;0.000
254;1.125;-3.125;0.000
255;1.125;-2.875;0.000
256;1.125;-2.625;0.000
257;1.125;-2.375;0.000
258;1.125;-2.125;0.000
259;1.125;-1.875;0.000
260;1.125;-1.625;0.000
261;1.125;-1.375;0.000
262;1.125;-1.125;0.000
263;1.125;-0.875;0.000
264;1.125;-0.625;0.000
265;1.125;-0.375;0.000
266;1.125;-0.125;0.000
267;1.375;-3.375;0.000
268;1.375;-3.125;0.000
269;1.375;-2.875;0.000
270;1.375;-2.625;0.000
271;1.375;-2.375;0.000
272;1.375;-2.125;0.000
273;1.375;-1.875;0.000
274;1.375;-1.625;0.000
275;1.375;-1.375;0.000
276;1.375;-1.125;0.000
277;1.375;-0.875;0.000
278;1.375;-0.625;0.000
279;1.375;-0.375;0.000
280;1.375;-0.125;0.000
281;1.625;-3.375;0.000
282;1.625;-3.125;0.000
283;1.625;-2.875;0.000
284;1.625;-2.625;0.000
285;1.625;-2.375;0.000
286;1.625;-2.125;0.000
287;1.625;-1.875;0.000
288;1.625;-1.625;0.000
289;1.625;-1.375;0.000
290;1.625;-1.125;0.000
291;1.625;-0.875;0.000
292;1.625;-0.625;0.000
293;1.625;-0.375;0.000
294;1.625;-0.125;0.000
295;1.875;-3.375;0.000
296;1.875;-3.125;0.000
297;1.875;-2.875;0.000
298;1.875;-2.625;0.000
299;1.875;-2.375;0.000
300;1.875;-2.125;0.000
301;1.875;-1.875;0.000
302;1.875;-1.625;0.000
303;1.875;-1.375;0.000
304;1.875;-1.125;0.000
305;1.875;-0.875;0.000
306;1.875;-0.625;0.000
307;1.875;-0.375;0.000
308;1.875;-0.125;0.000
309;2.125;-3.375;0.000
310;2.125;-3.125;0.000
311;2.125;-2.875;0.000
312;2.125;-2.625;0.000
313;2.125;-2.375;0.000
314;2.125;-2.125;0.000
315;2.125;-1.875;0.000
316;2.125;-1.625;0.000
317;2.125;-1.375;0.000
318;2.125;-1.125;0.000
319;2.125;-0.875;0.000
320;2.125;-0.625;0.000
321;2.125;-0.375;0.000
322;2.125;-0.125;0.000
323;2.375;-3.375;0.000
324;2.375;-3.125;0.000
325;2.375;-2.875;0.000
326;2.375;-2.625;0.000
327;2.375;-2.375;0.000
328;2.375;-2.125;0.000
329;2.375;-1.875;0.000
330;2.375;-1.625;0.000
331;2.375;-1.375;0.000
332;2.375;-1.125;0.000
333;2.375;-0.875;0.000
334;2.375;-0.625;0.000
335;2.375;-0.375;0.000
336;2.375;-0.125;0.000
337;2.625;-3.375;0.000
338;2.625;-3.125;0.000
339;2.625;-2.875;0.000
340;2.625;-2.625;0.000
341;2.625;-2.375;0.000
342;2.625;-2.125;0.000
343;2.625;-1.875;0.000
344;2.625;-1.625;0.000
345;2.625;-1.375;0.000
346;2.625;-1.125;0.000
347;2.625;-0.875;0.000
348;2.625;-0.625;0.000
349;2.625;-0.375;0.000
350;2.625;-0.125;0.000
351;2.875;-3.375;0.000
352;2.875;-3.125;0.000
353;2.875;-2.875;0.000
354;2.875;-2.625;0.000
355;2.875;-2.375;0.000
356;2.875;-2.125;0.000
357;2.875;-1.875;0.000
358;2.875;-1.625;0.000
359;2.875;-1.375;0.000
360;2.875;-1.125;0.000
361;2.875;-0.875;0.000
362;2.875;-0.625;0.000
363;2.875;-0.375;0.000
364;2.875;-0.125;0.000
365;3.125;-3.375;0.000
366;3.125;-3.125;0.000
367;3.125;-2.875;0.000
368;3.125;-2.625;0.000
369;3.125;-2.375;0.000
370;3.125;-2.125;0.000
371;3.125;-1.875;0.000
372;3.125;-1.625;0.000
373;3.125;-1.375;0.000
374;3.125;-1.125;0.000
375;3.125;-0.875;0.000
376;3.125;-0.625;0.000
377;3.125;-0.375;0.000
378;3.125;-0.125;0.000
379;3.375;-3.375;0.000
380;3.375;-3.125;0.000
381;3.375;-2.875;0.000
382;3.375;-2.625;0.000
383;3.375;-2.375;0.000
384;3.375;-2.125;0.000
385;3.375;-1.875;0.000
386;3.375;-1.625;0.000
387;3.375;-1.375;0.000
388;3.375;-1.125;0.000
389;3.375;-0.875;0.000
390;3.375;-0.625;0.000
391;3.375;-0.375;0.000
392;3.375;-0.125;0.000
393;-3.375;0.125;0.000
394;-3.375;0.375;0.000
395;-3.375;0.625;0.000
396;-3.375;0.875;0.000
397;-3.375;1.125;0.000
398;-3.375;1.375;0.000
399;-3.375;1.625;0.000
400;-3.375;1.875;0.000
401;-3.375;2.125;0.000
402;-3.375;2.375;0.000
403;-3.375;2.625;0.000
404;-3.375;2.875;0.000
405;-3.375;3.125;0.000
406;-3.375;3.375;0.000
407;-3.125;0.125;0.000
408;-3.125;0.375;0.000
409;-3.125;0.625;0.000
410;-3.125;0.875;0.000
411;-3.125;1.125;0.000
412;-3.125;1.375;0.000
413;-3.125;1.625;0.000
414;-3.125;1.875;0.000
415;-3.125;2.125;0.000
416;-3.125;2.375;0.000
417;-3.125;2.625;0.000
418;-3.125;2.875;0.000
419;-3.125;3.125;0.000
420;-3.125;3.375;0.000
421;-2.875;0.125;0.000
422;-2.875;0.375;0.000
423;-2.875;0.625;0.000
424;-2.875;0.875;0.000
425;-2.875;1.125;0.000
426;-2.875;1.375;0.000
427;-2.875;1.625;0.000
428;-2.875;1.875;0.000
429;-2.875;2.125;0.000
430;-2.875;2.375;0.000
431;-2.875;2.625;0.000
432;-2.875;2.875;0.000
433;-2.875;3.125;0.000
434;-2.875;3.375;0.000
435;-2.625;0.125;0.000
436;-2.625;0.375;0.000
437;-2.625;0.625;0.000
438;-2.625;0.875;0.000
439;-2.625;1.125;0.000
440;-2.625;1.375;0.000
