Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;2.79;-17.97;-1.60;13.86;-33.41;-22.00;57.48;-50.87
2;1;0.050;-0.150;-3.200;1.61;-1.23;-2.39;4.25;10.50;8.99;25.55;-36.38
3;1;0.050;-0.250;-3.224;1.07;-0.81;-2.27;4.07;10.96;4.56;10.73;-31.50
4;1;0.050;-0.350;-3.249;0.65;-1.13;-2.09;3.05;7.31;-3.24;0.31;-26.08
5;1;0.050;-0.450;-3.274;0.30;-1.33;-1.75;1.88;4.06;-9.00;-8.27;-21.64
6;1;0.050;-0.550;-3.298;0.16;-1.35;-1.44;0.72;2.27;-12.58;-14.57;-18.44
7;1;0.050;-0.650;-3.323;0.11;-1.26;-1.14;-0.25;1.29;-14.78;-18.95;-16.11
8;1;0.050;-0.750;-3.348;0.12;-1.13;-0.88;-0.98;0.74;-15.93;-21.77;-14.40
9;1;0.050;-0.850;-3.372;0.14;-0.96;-0.65;-1.48;0.40;-16.23;-23.34;-13.07
10;1;0.050;-0.950;-3.397;0.16;-0.79;-0.46;-1.76;0.19;-15.86;-23.90;-11.98
11;1;0.050;-1.050;-3.422;0.18;-0.63;-0.32;-1.88;0.09;-14.99;-23.67;-11.00
12;1;0.050;-1.150;-3.446;0.19;-0.49;-0.21;-1.86;0.06;-13.78;-22.79;-10.09
13;1;0.050;-1.250;-3.471;0.21;-0.37;-0.13;-1.77;0.03;-12.42;-21.42;-9.19
14;1;0.050;-1.350;-3.496;0.19;-0.27;-0.07;-1.58;-0.06;-10.96;-19.77;-8.37
15;1;0.050;-1.450;-3.520;0.18;-0.19;-0.03;-1.23;-0.16;-9.65;-18.06;-7.70
16;1;0.050;-1.550;-3.545;0.19;-0.15;-0.02;-0.96;-0.09;-8.66;-16.48;-7.11
17;1;0.050;-1.650;-3.570;0.18;-0.12;-0.01;-0.77;-0.11;-7.80;-15.15;-6.57
18;1;0.050;-1.750;-3.595;0.19;-0.09;0.00;-0.61;-0.17;-7.14;-13.97;-6.07
19;1;0.050;-1.850;-3.619;0.19;-0.08;0.00;-0.46;-0.18;-6.70;-12.95;-5.62
20;1;0.050;-1.950;-3.644;0.20;-0.07;0.00;-0.36;-0.18;-6.43;-12.08;-5.20
