Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
1;Standard;0;Kartesisch;0.000;0.000;-3.150;
2;Standard;0;Kartesisch;0.000;-0.100;-3.175;
3;Standard;0;Kartesisch;0.000;-0.200;-3.200;
4;Standard;0;Kartesisch;0.000;-0.300;-3.225;
5;Standard;0;Kartesisch;0.000;-0.400;-3.250;
6;Standard;0;Kartesisch;0.000;-0.500;-3.275;
7;Standard;0;Kartesisch;0.000;-0.600;-3.300;
8;Standard;0;Kartesisch;0.000;-0.700;-3.325;
9;Standard;0;Kartesisch;0.000;-0.800;-3.350;
10;Standard;0;Kartesisch;0.000;-0.900;-3.375;
11;Standard;0;Kartesisch;0.000;-1.000;-3.400;
12;Standard;0;Kartesisch;0.000;-1.100;-3.425;
13;Standard;0;Kartesisch;0.000;-1.200;-3.450;
14;Standard;0;Kartesisch;0.000;-1.300;-3.475;
15;Standard;0;Kartesisch;0.000;-1.400;-3.500;
16;Standard;0;Kartesisch;0.000;-1.500;-3.525;
17;Standard;0;Kartesisch;0.000;-1.600;-3.550;
18;Standard;0;Kartesisch;0.000;-1.700;-3.575;
19;Standard;0;Kartesisch;0.000;-1.800;-3.600;
20;Standard;0;Kartesisch;0.000;-1.900;-3.625;
21;Standard;0;Kartesisch;0.000;-2.000;-3.650;
22;Standard;0;Kartesisch;0.100;0.000;-3.175;
23;Standard;0;Kartesisch;0.100;-0.100;-3.199;
24;Standard;0;Kartesisch;0.100;-0.200;-3.224;
25;Standard;0;Kartesisch;0.100;-0.300;-3.248;
26;Standard;0;Kartesisch;0.100;-0.400;-3.273;
27;Standard;0;Kartesisch;0.100;-0.500;-3.297;
28;Standard;0;Kartesisch;0.100;-0.600;-3.321;
29;Standard;0;Kartesisch;0.100;-0.700;-3.346;
30;Standard;0;Kartesisch;0.100;-0.800;-3.370;
31;Standard;0;Kartesisch;0.100;-0.900;-3.394;
32;Standard;0;Kartesisch;0.100;-1.000;-3.419;
33;Standard;0;Kartesisch;0.100;-1.100;-3.443;
34;Standard;0;Kartesisch;0.100;-1.200;-3.468;
35;Standard;0;Kartesisch;0.100;-1.300;-3.492;
36;Standard;0;Kartesisch;0.100;-1.400;-3.516;
37;Standard;0;Kartesisch;0.100;-1.500;-3.541;
38;Standard;0;Kartesisch;0.100;-1.600;-3.565;
39;Standard;0;Kartesisch;0.100;-1.700;-3.589;
40;Standard;0;Kartesisch;0.100;-1.800;-3.614;
41;Standard;0;Kartesisch;0.100;-1.900;-3.638;
42;Standard;0;Kartesisch;0.100;-2.000;-3.663;
43;Standard;0;Kartesisch;0.200;0.000;-3.200;
44;Standard;0;Kartesisch;0.200;-0.100;-3.224;
45;Standard;0;Kartesisch;0.200;-0.200;-3.248;
46;Standard;0;Kartesisch;0.200;-0.300;-3.271;
47;Standard;0;Kartesisch;0.200;-0.400;-3.295;
48;Standard;0;Kartesisch;0.200;-0.500;-3.319;
49;Standard;0;Kartesisch;0.200;-0.600;-3.343;
50;Standard;0;Kartesisch;0.200;-0.700;-3.366;
51;Standard;0;Kartesisch;0.200;-0.800;-3.390;
52;Standard;0;Kartesisch;0.200;-0.900;-3.414;
53;Standard;0;Kartesisch;0.200;-1.000;-3.438;
54;Standard;0;Kartesisch;0.200;-1.100;-3.461;
55;Standard;0;Kartesisch;0.200;-1.200;-3.485;
56;Standard;0;Kartesisch;0.200;-1.300;-3.509;
57;Standard;0;Kartesisch;0.200;-1.400;-3.533;
58;Standard;0;Kartesisch;0.200;-1.500;-3.556;
59;Standard;0;Kartesisch;0.200;-1.600;-3.580;
