Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
1;Standard;0;Kartesisch;0.000;0.000;-3.160;
2;Standard;0;Kartesisch;0.000;0.100;-3.160;
3;Standard;0;Kartesisch;0.000;0.200;-3.160;
4;Standard;0;Kartesisch;0.000;0.300;-3.160;
5;Standard;0;Kartesisch;0.000;0.400;-3.160;
6;Standard;0;Kartesisch;0.000;0.500;-3.160;
7;Standard;0;Kartesisch;0.000;0.600;-3.160;
8;Standard;0;Kartesisch;0.000;0.700;-3.160;
9;Standard;0;Kartesisch;0.000;0.800;-3.160;
10;Standard;0;Kartesisch;0.000;0.900;-3.160;
11;Standard;0;Kartesisch;0.000;1.000;-3.160;
12;Standard;0;Kartesisch;0.000;1.100;-3.160;
13;Standard;0;Kartesisch;0.000;1.200;-3.160;
14;Standard;0;Kartesisch;0.000;1.300;-3.160;
15;Standard;0;Kartesisch;0.000;1.400;-3.160;
16;Standard;0;Kartesisch;0.000;1.500;-3.160;
17;Standard;0;Kartesisch;0.000;1.600;-3.160;
18;Standard;0;Kartesisch;0.000;1.700;-3.160;
19;Standard;0;Kartesisch;0.000;1.800;-3.160;
20;Standard;0;Kartesisch;0.000;1.900;-3.160;
21;Standard;0;Kartesisch;0.000;2.000;-3.160;
22;Standard;0;Kartesisch;0.000;2.100;-3.160;
23;Standard;0;Kartesisch;0.000;2.200;-3.160;
24;Standard;0;Kartesisch;0.000;2.300;-3.160;
25;Standard;0;Kartesisch;0.000;2.400;-3.160;
26;Standard;0;Kartesisch;0.000;2.500;-3.160;
27;Standard;0;Kartesisch;0.000;2.600;-3.160;
28;Standard;0;Kartesisch;0.000;2.700;-3.160;
29;Standard;0;Kartesisch;0.000;2.800;-3.160;
30;Standard;0;Kartesisch;0.000;2.900;-3.160;
31;Standard;0;Kartesisch;0.000;3.000;-3.160;
32;Standard;0;Kartesisch;0.000;3.100;-3.160;
33;Standard;0;Kartesisch;0.000;3.200;-3.160;
34;Standard;0;Kartesisch;0.000;3.300;-3.160;
35;Standard;0;Kartesisch;0.000;3.400;-3.160;
36;Standard;0;Kartesisch;0.000;3.500;-3.160;
37;Standard;0;Kartesisch;0.000;3.600;-3.160;
38;Standard;0;Kartesisch;0.000;3.700;-3.160;
39;Standard;0;Kartesisch;0.000;3.800;-3.160;
40;Standard;0;Kartesisch;0.000;3.900;-3.160;
41;Standard;0;Kartesisch;0.000;4.000;-3.160;
42;Standard;0;Kartesisch;0.000;4.100;-3.160;
43;Standard;0;Kartesisch;0.000;4.200;-3.160;
44;Standard;0;Kartesisch;0.000;4.300;-3.160;
45;Standard;0;Kartesisch;0.000;4.400;-3.160;
46;Standard;0;Kartesisch;0.000;4.500;-3.160;
47;Standard;0;Kartesisch;0.000;4.600;-3.160;
48;Standard;0;Kartesisch;0.000;4.700;-3.160;
49;Standard;0;Kartesisch;0.000;4.800;-3.160;
50;Standard;0;Kartesisch;0.000;4.900;-3.160;
51;Standard;0;Kartesisch;0.000;5.000;-3.160;
52;Standard;0;Kartesisch;0.000;5.100;-3.160;
53;Standard;0;Kartesisch;0.000;5.200;-3.160;
54;Standard;0;Kartesisch;0.000;5.300;-3.160;
55;Standard;0;Kartesisch;0.000;5.400;-3.160;
56;Standard;0;Kartesisch;0.000;5.500;-3.160;
57;Standard;0;Kartesisch;0.000;5.600;-3.160;
58;Standard;0;Kartesisch;0.000;5.700;-3.160;
59;Standard;0;Kartesisch;0.000;5.800;-3.160;
60;Standard;0;Kartesisch;0.000;5.900;-3.160;
61;Standard;0;Kartesisch;0.000;6.000;-3.160;
62;Standard;0;Kartesisch;0.000;6.100;-3.160;
63;Standard;0;Kartesisch;0.000;6.200;-3.160;
64;Standard;0;Kartesisch;0.000;6.300;-3.160;
65;Standard;0;Kartesisch;0.000;6.400;-3.160;
66;Standard;0;Kartesisch;0.000;6.500;-3.160;
67;Standard;0;Kartesisch;0.000;6.600;-3.160;
68;Standard;0;Kartesisch;0.000;6.700;-3.160;
69;Standard;0;Kartesisch;0.000;6.800;-3.160;
70;Standard;0;Kartesisch;0.000;6.900;-3.160;
71;Standard;0;Kartesisch;0.000;7.000;-3.160;
72;Standard;0;Kartesisch;0.100;0.000;-3.160;
73;Standard;0;Kartesisch;0.100;0.100;-3.160;
74;Standard;0;Kartesisch;0.100;0.200;-3.160;
75;Standard;0;Kartesisch;0.100;0.300;-3.160;
76;Standard;0;Kartesisch;0.100;0.400;-3.160;
77;Standard;0;Kartesisch;0.100;0.500;-3.160;
78;Standard;0;Kartesisch;0.100;0.600;-3.160;
79;Standard;0;Kartesisch;0.100;0.700;-3.160;
80;Standard;0;Kartesisch;0.100;0.800;-3.160;
81;Standard;0;Kartesisch;0.100;0.900;-3.160;
82;Standard;0;Kartesisch;0.100;1.000;-3.160;
83;Standard;0;Kartesisch;0.100;1.100;-3.160;
84;Standard;0;Kartesisch;0.100;1.200;-3.160;
85;Standard;0;Kartesisch;0.100;1.300;-3.160;
86;Standard;0;Kartesisch;0.100;1.400;-3.160;
87;Standard;0;Kartesisch;0.100;1.500;-3.160;
88;Standard;0;Kartesisch;0.100;1.600;-3.160;
89;Standard;0;Kartesisch;0.100;1.700;-3.160;
90;Standard;0;Kartesisch;0.100;1.800;-3.160;
91;Standard;0;Kartesisch;0.100;1.900;-3.160;
92;Standard;0;Kartesisch;0.100;2.000;-3.160;
93;Standard;0;Kartesisch;0.100;2.100;-3.160;
94;Standard;0;Kartesisch;0.100;2.200;-3.160;
95;Standard;0;Kartesisch;0.100;2.300;-3.160;
96;Standard;0;Kartesisch;0.100;2.400;-3.160;
97;Standard;0;Kartesisch;0.100;2.500;-3.160;
98;Standard;0;Kartesisch;0.100;2.600;-3.160;
99;Standard;0;Kartesisch;0.100;2.700;-3.160;
100;Standard;0;Kartesisch;0.100;2.800;-3.160;
101;Standard;0;Kartesisch;0.100;2.900;-3.160;
102;Standard;0;Kartesisch;0.100;3.000;-3.160;
103;Standard;0;Kartesisch;0.100;3.100;-3.160;
104;Standard;0;Kartesisch;0.100;3.200;-3.160;
105;Standard;0;Kartesisch;0.100;3.300;-3.160;
106;Standard;0;Kartesisch;0.100;3.400;-3.160;
107;Standard;0;Kartesisch;0.100;3.500;-3.160;
108;Standard;0;Kartesisch;0.100;3.600;-3.160;
109;Standard;0;Kartesisch;0.100;3.700;-3.160;
110;Standard;0;Kartesisch;0.100;3.800;-3.160;
111;Standard;0;Kartesisch;0.100;3.900;-3.160;
112;Standard;0;Kartesisch;0.100;4.000;-3.160;
113;Standard;0;Kartesisch;0.100;4.100;-3.160;
114;Standard;0;Kartesisch;0.100;4.200;-3.160;
115;Standard;0;Kartesisch;0.100;4.300;-3.160;
116;Standard;0;Kartesisch;0.100;4.400;-3.160;
117;Standard;0;Kartesisch;0.100;4.500;-3.160;
118;Standard;0;Kartesisch;0.100;4.600;-3.160;
119;Standard;0;Kartesisch;0.100;4.700;-3.160;
120;Standard;0;Kartesisch;0.100;4.800;-3.160;
121;Standard;0;Kartesisch;0.100;4.900;-3.160;
122;Standard;0;Kartesisch;0.100;5.000;-3.160;
123;Standard;0;Kartesisch;0.100;5.100;-3.160;
124;Standard;0;Kartesisch;0.100;5.200;-3.160;
125;Standard;0;Kartesisch;0.100;5.300;-3.160;
126;Standard;0;Kartesisch;0.100;5.400;-3.160;
127;Standard;0;Kartesisch;0.100;5.500;-3.160;
128;Standard;0;Kartesisch;0.100;5.600;-3.160;
129;Standard;0;Kartesisch;0.100;5.700;-3.160;
130;Standard;0;Kartesisch;0.100;5.800;-3.160;
131;Standard;0;Kartesisch;0.100;5.900;-3.160;
132;Standard;0;Kartesisch;0.100;6.000;-3.160;
133;Standard;0;Kartesisch;0.100;6.100;-3.160;
134;Standard;0;Kartesisch;0.100;6.200;-3.160;
135;Standard;0;Kartesisch;0.100;6.300;-3.160;
136;Standard;0;Kartesisch;0.100;6.400;-3.160;
137;Standard;0;Kartesisch;0.100;6.500;-3.160;
138;Standard;0;Kartesisch;0.100;6.600;-3.160;
139;Standard;0;Kartesisch;0.100;6.700;-3.160;
140;Standard;0;Kartesisch;0.100;6.800;-3.160;
141;Standard;0;Kartesisch;0.100;6.900;-3.160;
142;Standard;0;Kartesisch;0.100;7.000;-3.160;
143;Standard;0;Kartesisch;0.200;0.000;-3.160;
144;Standard;0;Kartesisch;0.200;0.100;-3.160;
145;Standard;0;Kartesisch;0.200;0.200;-3.160;
146;Standard;0;Kartesisch;0.200;0.300;-3.160;
147;Standard;0;Kartesisch;0.200;0.400;-3.160;
148;Standard;0;Kartesisch;0.200;0.500;-3.160;
149;Standard;0;Kartesisch;0.200;0.600;-3.160;
150;Standard;0;Kartesisch;0.200;0.700;-3.160;
151;Standard;0;Kartesisch;0.200;0.800;-3.160;
152;Standard;0;Kartesisch;0.200;0.900;-3.160;
153;Standard;0;Kartesisch;0.200;1.000;-3.160;
154;Standard;0;Kartesisch;0.200;1.100;-3.160;
155;Standard;0;Kartesisch;0.200;1.200;-3.160;
156;Standard;0;Kartesisch;0.200;1.300;-3.160;
157;Standard;0;Kartesisch;0.200;1.400;-3.160;
158;Standard;0;Kartesisch;0.200;1.500;-3.160;
159;Standard;0;Kartesisch;0.200;1.600;-3.160;
160;Standard;0;Kartesisch;0.200;1.700;-3.160;
161;Standard;0;Kartesisch;0.200;1.800;-3.160;
162;Standard;0;Kartesisch;0.200;1.900;-3.160;
163;Standard;0;Kartesisch;0.200;2.000;-3.160;
164;Standard;0;Kartesisch;0.200;2.100;-3.160;
165;Standard;0;Kartesisch;0.200;2.200;-3.160;
166;Standard;0;Kartesisch;0.200;2.300;-3.160;
167;Standard;0;Kartesisch;0.200;2.400;-3.160;
168;Standard;0;Kartesisch;0.200;2.500;-3.160;
169;Standard;0;Kartesisch;0.200;2.600;-3.160;
170;Standard;0;Kartesisch;0.200;2.700;-3.160;
171;Standard;0;Kartesisch;0.200;2.800;-3.160;
172;Standard;0;Kartesisch;0.200;2.900;-3.160;
173;Standard;0;Kartesisch;0.200;3.000;-3.160;
174;Standard;0;Kartesisch;0.200;3.100;-3.160;
175;Standard;0;Kartesisch;0.200;3.200;-3.160;
176;Standard;0;Kartesisch;0.200;3.300;-3.160;
177;Standard;0;Kartesisch;0.200;3.400;-3.160;
178;Standard;0;Kartesisch;0.200;3.500;-3.160;
179;Standard;0;Kartesisch;0.200;3.600;-3.160;
180;Standard;0;Kartesisch;0.200;3.700;-3.160;
181;Standard;0;Kartesisch;0.200;3.800;-3.160;
182;Standard;0;Kartesisch;0.200;3.900;-3.160;
183;Standard;0;Kartesisch;0.200;4.000;-3.160;
184;Standard;0;Kartesisch;0.200;4.100;-3.160;
185;Standard;0;Kartesisch;0.200;4.200;-3.160;
186;Standard;0;Kartesisch;0.200;4.300;-3.160;
187;Standard;0;Kartesisch;0.200;4.400;-3.160;
188;Standard;0;Kartesisch;0.200;4.500;-3.160;
189;Standard;0;Kartesisch;0.200;4.600;-3.160;
190;Standard;0;Kartesisch;0.200;4.700;-3.160;
191;Standard;0;Kartesisch;0.200;4.800;-3.160;
192;Standard;0;Kartesisch;0.200;4.900;-3.160;
193;Standard;0;Kartesisch;0.200;5.000;-3.160;
194;Standard;0;Kartesisch;0.200;5.100;-3.160;
195;Standard;0;Kartesisch;0.200;5.200;-3.160;
196;Standard;0;Kartesisch;0.200;5.300;-3.160;
197;Standard;0;Kartesisch;0.200;5.400;-3.160;
198;Standard;0;Kartesisch;0.200;5.500;-3.160;
199;Standard;0;Kartesisch;0.200;5.600;-3.160;
200;Standard;0;Kartesisch;0.200;5.700;-3.160;
201;Standard;0;Kartesisch;0.200;5.800;-3.160;
202;Standard;0;Kartesisch;0.200;5.900;-3.160;
203;Standard;0;Kartesisch;0.200;6.000;-3.160;
204;Standard;0;Kartesisch;0.200;6.100;-3.160;
205;Standard;0;Kartesisch;0.200;6.200;-3.160;
206;Standard;0;Kartesisch;0.200;6.300;-3.160;
207;Standard;0;Kartesisch;0.200;6.400;-3.160;
208;Standard;0;Kartesisch;0.200;6.500;-3.160;
209;Standard;0;Kartesisch;0.200;6.600;-3.160;
210;Standard;0;Kartesisch;0.200;6.700;-3.160;
211;Standard;0;Kartesisch;0.200;6.800;-3.160;
212;Standard;0;Kartesisch;0.200;6.900;-3.160;
213;Standard;0;Kartesisch;0.200;7.000;-3.160;
214;Standard;0;Kartesisch;0.300;0.000;-3.160;
215;Standard;0;Kartesisch;0.300;0.100;-3.160;
216;Standard;0;Kartesisch;0.300;0.200;-3.160;
217;Standard;0;Kartesisch;0.300;0.300;-3.160;
218;Standard;0;Kartesisch;0.300;0.400;-3.160;
219;Standard;0;Kartesisch;0.300;0.500;-3.160;
220;Standard;0;Kartesisch;0.300;0.600;-3.160;
221;Standard;0;Kartesisch;0.300;0.700;-3.160;
222;Standard;0;Kartesisch;0.300;0.800;-3.160;
223;Standard;0;Kartesisch;0.300;0.900;-3.160;
224;Standard;0;Kartesisch;0.300;1.000;-3.160;
225;Standard;0;Kartesisch;0.300;1.100;-3.160;
226;Standard;0;Kartesisch;0.300;1.200;-3.160;
227;Standard;0;Kartesisch;0.300;1.300;-3.160;
228;Standard;0;Kartesisch;0.300;1.400;-3.160;
229;Standard;0;Kartesisch;0.300;1.500;-3.160;
230;Standard;0;Kartesisch;0.300;1.600;-3.160;
231;Standard;0;Kartesisch;0.300;1.700;-3.160;
232;Standard;0;Kartesisch;0.300;1.800;-3.160;
233;Standard;0;Kartesisch;0.300;1.900;-3.160;
234;Standard;0;Kartesisch;0.300;2.000;-3.160;
235;Standard;0;Kartesisch;0.300;2.100;-3.160;
236;Standard;0;Kartesisch;0.300;2.200;-3.160;
237;Standard;0;Kartesisch;0.300;2.300;-3.160;
238;Standard;0;Kartesisch;0.300;2.400;-3.160;
239;Standard;0;Kartesisch;0.300;2.500;-3.160;
240;Standard;0;Kartesisch;0.300;2.600;-3.160;
241;Standard;0;Kartesisch;0.300;2.700;-3.160;
242;Standard;0;Kartesisch;0.300;2.800;-3.160;
243;Standard;0;Kartesisch;0.300;2.900;-3.160;
244;Standard;0;Kartesisch;0.300;3.000;-3.160;
245;Standard;0;Kartesisch;0.300;3.100;-3.160;
246;Standard;0;Kartesisch;0.300;3.200;-3.160;
247;Standard;0;Kartesisch;0.300;3.300;-3.160;
