Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
1;Standard;0;Kartesisch;-3.500;-3.500;0.000;
2;Standard;0;Kartesisch;-3.500;-3.250;0.000;
3;Standard;0;Kartesisch;-3.500;-3.000;0.000;
4;Standard;0;Kartesisch;-3.500;-2.750;0.000;
5;Standard;0;Kartesisch;-3.500;-2.500;0.000;
6;Standard;0;Kartesisch;-3.500;-2.250;0.000;
7;Standard;0;Kartesisch;-3.500;-2.000;0.000;
8;Standard;0;Kartesisch;-3.500;-1.750;0.000;
9;Standard;0;Kartesisch;-3.500;-1.500;0.000;
10;Standard;0;Kartesisch;-3.500;-1.250;0.000;
11;Standard;0;Kartesisch;-3.500;-1.000;0.000;
12;Standard;0;Kartesisch;-3.500;-0.750;0.000;
13;Standard;0;Kartesisch;-3.500;-0.500;0.000;
14;Standard;0;Kartesisch;-3.500;-0.250;0.000;
15;Standard;0;Kartesisch;-3.500;0.000;0.000;
16;Standard;0;Kartesisch;-3.500;0.250;0.000;
17;Standard;0;Kartesisch;-3.500;0.500;0.000;
18;Standard;0;Kartesisch;-3.500;0.750;0.000;
19;Standard;0;Kartesisch;-3.500;1.000;0.000;
20;Standard;0;Kartesisch;-3.500;1.250;0.000;
21;Standard;0;Kartesisch;-3.500;1.500;0.000;
22;Standard;0;Kartesisch;-3.500;1.750;0.000;
23;Standard;0;Kartesisch;-3.500;2.000;0.000;
24;Standard;0;Kartesisch;-3.500;2.250;0.000;
25;Standard;0;Kartesisch;-3.500;2.500;0.000;
26;Standard;0;Kartesisch;-3.500;2.750;0.000;
27;Standard;0;Kartesisch;-3.500;3.000;0.000;
28;Standard;0;Kartesisch;-3.500;3.250;0.000;
29;Standard;0;Kartesisch;-3.500;3.500;0.000;
30;Standard;0;Kartesisch;-3.250;-3.500;0.000;
31;Standard;0;Kartesisch;-3.250;-3.250;0.000;
32;Standard;0;Kartesisch;-3.250;-3.000;0.000;
33;Standard;0;Kartesisch;-3.250;-2.750;0.000;
34;Standard;0;Kartesisch;-3.250;-2.500;0.000;
35;Standard;0;Kartesisch;-3.250;-2.250;0.000;
36;Standard;0;Kartesisch;-3.250;-2.000;0.000;
37;Standard;0;Kartesisch;-3.250;-1.750;0.000;
