node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-0.741625522879
2.0;0.0;0.1;-0.741632521314
3.0;0.0;0.2;-0.741625217305
4.0;0.0;0.3;-0.74162319237
5.0;0.0;0.4;-0.741625648221
6.0;0.0;0.5;-0.741626395221
7.0;0.0;0.6;-0.741625524609
8.0;0.0;0.7;-0.74162543195
9.0;0.0;0.8;-0.741625537261
10.0;0.0;0.9;-0.741625621102
11.0;0.0;1.0;-0.741625512461
12.0;0.0;1.1;-0.741625514359
13.0;0.0;1.2;-0.741625475494
14.0;0.0;1.3;-0.741625492601
15.0;0.0;1.4;-0.74162544328
16.0;0.0;1.5;-0.74162544077
17.0;0.0;1.6;-0.74162541234
18.0;0.0;1.7;-0.741625385267
19.0;0.0;1.8;-0.741625384484
20.0;0.0;1.9;-0.741625334921
21.0;0.0;2.0;-0.741625373565
22.0;0.0;2.1;-0.741625255158
23.0;0.0;2.2;-0.741625319001
24.0;0.0;2.3;-0.741625313645
25.0;0.0;2.4;-0.741625313064
26.0;0.0;2.5;-0.741624976558
27.0;0.0;2.6;-0.741625187558
28.0;0.0;2.7;-0.741626045418
29.0;0.0;2.8;-0.741624541352
30.0;0.0;2.9;-0.741622900492
31.0;0.0;3.0;-0.741628080619
32.0;0.0;3.1;-0.741631896881
33.0;0.0;3.2;-0.741608230809
34.0;0.0;3.3;-0.74161214677
35.0;0.0;3.4;-0.741712105533
36.0;0.0;3.5;-0.741625526707
37.0;0.0;3.6;-0.741712105533
38.0;0.0;3.7;-0.74161214677
39.0;0.0;3.8;-0.741608230809
40.0;0.0;3.9;-0.741631896881
41.0;0.0;4.0;-0.741628080619
42.0;0.0;4.1;-0.741622900492
43.0;0.0;4.2;-0.741624541352
44.0;0.0;4.3;-0.741626045418
45.0;0.0;4.4;-0.741625187557
46.0;0.0;4.5;-0.741624976558
47.0;0.0;4.6;-0.741625313064
48.0;0.0;4.7;-0.741625313645
49.0;0.0;4.8;-0.741625319001
50.0;0.0;4.9;-0.741625255158
51.0;0.0;5.0;-0.741625373565
52.0;0.0;5.1;-0.741625334921
53.0;0.0;5.2;-0.741625384484
54.0;0.0;5.3;-0.741625385267
55.0;0.0;5.4;-0.74162541234
56.0;0.0;5.5;-0.74162544077
57.0;0.0;5.6;-0.74162544328
58.0;0.0;5.7;-0.741625492601
59.0;0.0;5.8;-0.741625475494
60.0;0.0;5.9;-0.741625514359
61.0;0.0;6.0;-0.741625512461
62.0;0.0;6.1;-0.741625621102
63.0;0.0;6.2;-0.741625537261
64.0;0.0;6.3;-0.74162543195
65.0;0.0;6.4;-0.741625524609
66.0;0.0;6.5;-0.741626395221
67.0;0.0;6.6;-0.74162564822
68.0;0.0;6.7;-0.74162319237
69.0;0.0;6.8;-0.741625217305
70.0;0.0;6.9;-0.741632521314
71.0;0.0;7.0;-0.741625522879
72.0;0.1;0.0;-0.741632534091
73.0;0.1;0.1;-0.740854944455
74.0;0.1;0.2;-0.740070321557
75.0;0.1;0.3;-0.739288536191
76.0;0.1;0.4;-0.738512703646
77.0;0.1;0.5;-0.737734694711
78.0;0.1;0.6;-0.73695579379
79.0;0.1;0.7;-0.736177099786
80.0;0.1;0.8;-0.735399025669
81.0;0.1;0.9;-0.73462073498
82.0;0.1;1.0;-0.733842356818
83.0;0.1;1.1;-0.733064079666
84.0;0.1;1.2;-0.732285758438
85.0;0.1;1.3;-0.731507584465
86.0;0.1;1.4;-0.730729263568
87.0;0.1;1.5;-0.729951148006
88.0;0.1;1.6;-0.729172885467
89.0;0.1;1.7;-0.728394832929
90.0;0.1;1.8;-0.727616663058
91.0;0.1;1.9;-0.726838684567
92.0;0.1;2.0;-0.726060670776
93.0;0.1;2.1;-0.725282712187
94.0;0.1;2.2;-0.724504950842
95.0;0.1;2.3;-0.723727183103
96.0;0.1;2.4;-0.722949734154
97.0;0.1;2.5;-0.722171679176
98.0;0.1;2.6;-0.721395184919
99.0;0.1;2.7;-0.720618234672
100.0;0.1;2.8;-0.71984108652
101.0;0.1;2.9;-0.719062441389
102.0;0.1;3.0;-0.718293185478
103.0;0.1;3.1;-0.717518311164
104.0;0.1;3.2;-0.716730339414
105.0;0.1;3.3;-0.715967346229
106.0;0.1;3.4;-0.715279997165
107.0;0.1;3.5;-0.714477018096
108.0;0.1;3.6;-0.715279997165
109.0;0.1;3.7;-0.715967346229
110.0;0.1;3.8;-0.716730339414
111.0;0.1;3.9;-0.717518311164
112.0;0.1;4.0;-0.718293185478
113.0;0.1;4.1;-0.719062441389
114.0;0.1;4.2;-0.71984108652
115.0;0.1;4.3;-0.720618234672
116.0;0.1;4.4;-0.721395184919
117.0;0.1;4.5;-0.722171679176
118.0;0.1;4.6;-0.722949734154
119.0;0.1;4.7;-0.723727183103
120.0;0.1;4.8;-0.724504950842
121.0;0.1;4.9;-0.725282712187
122.0;0.1;5.0;-0.726060670776
123.0;0.1;5.1;-0.726838684567
124.0;0.1;5.2;-0.727616663058
125.0;0.1;5.3;-0.728394832929
126.0;0.1;5.4;-0.729172885467
127.0;0.1;5.5;-0.729951148006
128.0;0.1;5.6;-0.730729263568
129.0;0.1;5.7;-0.731507584465
130.0;0.1;5.8;-0.732285758438
131.0;0.1;5.9;-0.733064079666
132.0;0.1;6.0;-0.733842356818
133.0;0.1;6.1;-0.73462073498
