node_number;x[m];y[m];z[m]
1.0;-3.5;-3.5;-0.741625522879
2.0;-3.5;-3.25;-0.741623056707
3.0;-3.5;-3.0;-0.741626395221
4.0;-3.5;-2.75;-0.741625502944
5.0;-3.5;-2.5;-0.741625512461
6.0;-3.5;-2.25;-0.741625503295
7.0;-3.5;-2.0;-0.74162544077
8.0;-3.5;-1.75;-0.741625298149
9.0;-3.5;-1.5;-0.741625373565
10.0;-3.5;-1.25;-0.741625441975
11.0;-3.5;-1.0;-0.741624976558
12.0;-3.5;-0.75;-0.74162576204
13.0;-3.5;-0.5;-0.741628080619
14.0;-3.5;-0.25;-0.741600154361
15.0;-3.5;0.0;-0.741625526707
16.0;-3.5;0.25;-0.741600154361
17.0;-3.5;0.5;-0.741628080619
18.0;-3.5;0.75;-0.74162576204
19.0;-3.5;1.0;-0.741624976558
20.0;-3.5;1.25;-0.741625441975
21.0;-3.5;1.5;-0.741625373565
22.0;-3.5;1.75;-0.741625298149
23.0;-3.5;2.0;-0.74162544077
24.0;-3.5;2.25;-0.741625503295
25.0;-3.5;2.5;-0.741625512461
26.0;-3.5;2.75;-0.741625502944
27.0;-3.5;3.0;-0.741626395221
28.0;-3.5;3.25;-0.741623056707
29.0;-3.5;3.5;-0.741625522879
30.0;-3.25;-3.5;-0.741623052604
31.0;-3.25;-3.25;-0.736756315036
32.0;-3.25;-3.0;-0.731890755287
33.0;-3.25;-2.75;-0.727022852942
34.0;-3.25;-2.5;-0.722155492018
35.0;-3.25;-2.25;-0.717287965298
36.0;-3.25;-2.0;-0.712420353638
37.0;-3.25;-1.75;-0.707552757812
38.0;-3.25;-1.5;-0.702684994673
39.0;-3.25;-1.25;-0.697817299025
40.0;-3.25;-1.0;-0.692949019645
41.0;-3.25;-0.75;-0.688080517633
42.0;-3.25;-0.5;-0.68321222821
43.0;-3.25;-0.25;-0.678330382568
44.0;-3.25;0.0;-0.673454673581
45.0;-3.25;0.25;-0.678330382568
46.0;-3.25;0.5;-0.68321222821
47.0;-3.25;0.75;-0.688080517633
48.0;-3.25;1.0;-0.692949019645
49.0;-3.25;1.25;-0.697817299025
50.0;-3.25;1.5;-0.702684994673
51.0;-3.25;1.75;-0.707552757812
52.0;-3.25;2.0;-0.712420353638
53.0;-3.25;2.25;-0.717287965298
54.0;-3.25;2.5;-0.722155492018
55.0;-3.25;2.75;-0.727022852942
56.0;-3.25;3.0;-0.731890755287
57.0;-3.25;3.25;-0.736756315036
58.0;-3.25;3.5;-0.741623052604
59.0;-3.0;-3.5;-0.741626395868
60.0;-3.0;-3.25;-0.731890758856
61.0;-3.0;-3.0;-0.722157458222
62.0;-3.0;-2.75;-0.712422952583
63.0;-3.0;-2.5;-0.70268873723
64.0;-3.0;-2.25;-0.69295452945
65.0;-3.0;-2.0;-0.683220319282
66.0;-3.0;-1.75;-0.673486134398
67.0;-3.0;-1.5;-0.663751954389
68.0;-3.0;-1.25;-0.654017814291
69.0;-3.0;-1.0;-0.644283702467
70.0;-3.0;-0.75;-0.634549716766
71.0;-3.0;-0.5;-0.624815739638
72.0;-3.0;-0.25;-0.615083121202
73.0;-3.0;0.0;-0.605350213112
74.0;-3.0;0.25;-0.615083121202
75.0;-3.0;0.5;-0.624815739638
76.0;-3.0;0.75;-0.634549716766
77.0;-3.0;1.0;-0.644283702467
78.0;-3.0;1.25;-0.65401781429
79.0;-3.0;1.5;-0.663751954389
80.0;-3.0;1.75;-0.673486134398
81.0;-3.0;2.0;-0.683220319282
82.0;-3.0;2.25;-0.69295452945
83.0;-3.0;2.5;-0.70268873723
84.0;-3.0;2.75;-0.712422952583
85.0;-3.0;3.0;-0.722157458222
86.0;-3.0;3.25;-0.731890758856
87.0;-3.0;3.5;-0.741626395868
88.0;-2.75;-3.5;-0.741625502628
89.0;-2.75;-3.25;-0.727022854437
90.0;-2.75;-3.0;-0.712422952388
91.0;-2.75;-2.75;-0.697821305298
92.0;-2.75;-2.5;-0.683219879846
93.0;-2.75;-2.25;-0.668618513666
94.0;-2.75;-2.0;-0.654017119876
95.0;-2.75;-1.75;-0.63941571123
96.0;-2.75;-1.5;-0.62481433994
97.0;-2.75;-1.25;-0.610212938551
98.0;-2.75;-1.0;-0.595611626701
99.0;-2.75;-0.75;-0.581010150803
100.0;-2.75;-0.5;-0.566407843982
101.0;-2.75;-0.25;-0.551812378655
102.0;-2.75;0.0;-0.537206817135
103.0;-2.75;0.25;-0.551812378655
104.0;-2.75;0.5;-0.566407843982
105.0;-2.75;0.75;-0.581010150803
106.0;-2.75;1.0;-0.595611626701
107.0;-2.75;1.25;-0.610212938551
108.0;-2.75;1.5;-0.62481433994
109.0;-2.75;1.75;-0.63941571123
110.0;-2.75;2.0;-0.654017119876
111.0;-2.75;2.25;-0.668618513666
112.0;-2.75;2.5;-0.683219879846
113.0;-2.75;2.75;-0.697821305298
114.0;-2.75;3.0;-0.712422952388
115.0;-2.75;3.25;-0.727022854437
116.0;-2.75;3.5;-0.741625502628
117.0;-2.5;-3.5;-0.741625511874
118.0;-2.5;-3.25;-0.722155492528
119.0;-2.5;-3.0;-0.702688737777
120.0;-2.5;-2.75;-0.683219880583
121.0;-2.5;-2.5;-0.663751296021
122.0;-2.5;-2.25;-0.644282771313
123.0;-2.5;-2.0;-0.624814214169
124.0;-2.5;-1.75;-0.605345664454
125.0;-2.5;-1.5;-0.585877101558
126.0;-2.5;-1.25;-0.566408519045
127.0;-2.5;-1.0;-0.546940209224
128.0;-2.5;-0.75;-0.527471223912
129.0;-2.5;-0.5;-0.508000430955
130.0;-2.5;-0.25;-0.488544181625
131.0;-2.5;0.0;-0.469066127098
132.0;-2.5;0.25;-0.488544181625
133.0;-2.5;0.5;-0.508000430955
134.0;-2.5;0.75;-0.527471223912
135.0;-2.5;1.0;-0.546940209224
136.0;-2.5;1.25;-0.566408519045
137.0;-2.5;1.5;-0.585877101558
138.0;-2.5;1.75;-0.605345664454
139.0;-2.5;2.0;-0.624814214169
140.0;-2.5;2.25;-0.644282771313
141.0;-2.5;2.5;-0.663751296021
142.0;-2.5;2.75;-0.683219880583
143.0;-2.5;3.0;-0.702688737777
144.0;-2.5;3.25;-0.722155492528
145.0;-2.5;3.5;-0.741625511874
146.0;-2.25;-3.5;-0.741625502672
147.0;-2.25;-3.25;-0.71728796398
148.0;-2.25;-3.0;-0.692954529002
149.0;-2.25;-2.75;-0.668618512658
150.0;-2.25;-2.5;-0.644282768959
151.0;-2.25;-2.25;-0.619947126433
152.0;-2.25;-2.0;-0.595611443034
153.0;-2.25;-1.75;-0.571275770304
154.0;-2.25;-1.5;-0.546940077996
155.0;-2.25;-1.25;-0.522604376
156.0;-2.25;-1.0;-0.49826900251
157.0;-2.25;-0.75;-0.473932810753
158.0;-2.25;-0.5;-0.44959083052
159.0;-2.25;-0.25;-0.425296432145
160.0;-2.25;0.0;-0.40092369824
161.0;-2.25;0.25;-0.425296432145
162.0;-2.25;0.5;-0.44959083052
163.0;-2.25;0.75;-0.473932810753
164.0;-2.25;1.0;-0.49826900251
165.0;-2.25;1.25;-0.522604376
166.0;-2.25;1.5;-0.546940077996
167.0;-2.25;1.75;-0.571275770304
168.0;-2.25;2.0;-0.595611443034
169.0;-2.25;2.25;-0.619947126433
170.0;-2.25;2.5;-0.644282768959
171.0;-2.25;2.75;-0.668618512658
172.0;-2.25;3.0;-0.692954529002
173.0;-2.25;3.25;-0.71728796398
174.0;-2.25;3.5;-0.741625502672
175.0;-2.0;-3.5;-0.741625440006
176.0;-2.0;-3.25;-0.712420351757
177.0;-2.0;-3.0;-0.683220320275
178.0;-2.0;-2.75;-0.654017120544
179.0;-2.0;-2.5;-0.624814213864
180.0;-2.0;-2.25;-0.595611445476
181.0;-2.0;-2.0;-0.566408626493
182.0;-2.0;-1.75;-0.537205815867
183.0;-2.0;-1.5;-0.508002994314
184.0;-2.0;-1.25;-0.478800131806
185.0;-2.0;-1.0;-0.449597897519
186.0;-2.0;-0.75;-0.420393827254
187.0;-2.0;-0.5;-0.391197788856
188.0;-2.0;-0.25;-0.361976856516
189.0;-2.0;0.0;-0.333544736943
190.0;-2.0;0.25;-0.361976856516
191.0;-2.0;0.5;-0.391197788856
192.0;-2.0;0.75;-0.420393827254
193.0;-2.0;1.0;-0.449597897519
194.0;-2.0;1.25;-0.478800131806
195.0;-2.0;1.5;-0.508002994314
196.0;-2.0;1.75;-0.537205815867
197.0;-2.0;2.0;-0.566408626493
198.0;-2.0;2.25;-0.595611445476
199.0;-2.0;2.5;-0.624814213864
200.0;-2.0;2.75;-0.654017120544
201.0;-2.0;3.0;-0.683220320275
202.0;-2.0;3.25;-0.712420351757
203.0;-2.0;3.5;-0.741625440006
204.0;-1.75;-3.5;-0.741625296939
205.0;-1.75;-3.25;-0.707552753694
206.0;-1.75;-3.0;-0.673486133686
207.0;-1.75;-2.75;-0.639415709159
208.0;-1.75;-2.5;-0.605345660799
209.0;-1.75;-2.25;-0.571275769017
210.0;-1.75;-2.0;-0.537205811918
211.0;-1.75;-1.75;-0.503135884635
212.0;-1.75;-1.5;-0.469065862535
213.0;-1.75;-1.25;-0.434996338961
214.0;-1.75;-1.0;-0.400923774884
215.0;-1.75;-0.75;-0.366863681741
216.0;-1.75;-0.5;-0.332742769261
217.0;-1.75;-0.25;-0.299529951816
218.0;-1.75;0.0;-0.270599396548
219.0;-1.75;0.25;-0.299529951816
220.0;-1.75;0.5;-0.332742769261
221.0;-1.75;0.75;-0.366863681741
222.0;-1.75;1.0;-0.400923774884
223.0;-1.75;1.25;-0.434996338961
224.0;-1.75;1.5;-0.469065862535
225.0;-1.75;1.75;-0.503135884635
226.0;-1.75;2.0;-0.537205811918
227.0;-1.75;2.25;-0.571275769017
228.0;-1.75;2.5;-0.605345660799
229.0;-1.75;2.75;-0.639415709159
230.0;-1.75;3.0;-0.673486133686
231.0;-1.75;3.25;-0.707552753694
232.0;-1.75;3.5;-0.741625296939
233.0;-1.5;-3.5;-0.741625372494
234.0;-1.5;-3.25;-0.70268498969
235.0;-1.5;-3.0;-0.663751955494
236.0;-1.5;-2.75;-0.624814340087
237.0;-1.5;-2.5;-0.58587710063
238.0;-1.5;-2.25;-0.546940079792
239.0;-1.5;-2.0;-0.508002993616
240.0;-1.5;-1.75;-0.469065865731
241.0;-1.5;-1.5;-0.430128868294
242.0;-1.5;-1.25;-0.391190948794
243.0;-1.5;-1.0;-0.352261932062
244.0;-1.5;-0.75;-0.313316191894
245.0;-1.5;-0.5;-0.275167125057
246.0;-1.5;-0.25;-0.241382067913
247.0;-1.5;0.0;-0.212429688424
248.0;-1.5;0.25;-0.241382067913
249.0;-1.5;0.5;-0.275167125057
250.0;-1.5;0.75;-0.313316191894
251.0;-1.5;1.0;-0.352261932062
252.0;-1.5;1.25;-0.391190948794
253.0;-1.5;1.5;-0.430128868294
254.0;-1.5;1.75;-0.469065865731
255.0;-1.5;2.0;-0.508002993616
256.0;-1.5;2.25;-0.546940079792
257.0;-1.5;2.5;-0.58587710063
258.0;-1.5;2.75;-0.624814340087
259.0;-1.5;3.0;-0.663751955494
260.0;-1.5;3.25;-0.70268498969
261.0;-1.5;3.5;-0.741625372494
262.0;-1.25;-3.5;-0.74162544016
263.0;-1.25;-3.25;-0.697817291041
264.0;-1.25;-3.0;-0.654017813709
265.0;-1.25;-2.75;-0.610212936101
266.0;-1.25;-2.5;-0.566408514928
267.0;-1.25;-2.25;-0.522604374172
268.0;-1.25;-2.0;-0.478800127344
269.0;-1.25;-1.75;-0.434996337812
270.0;-1.25;-1.5;-0.391190944576
271.0;-1.25;-1.25;-0.347396417469
272.0;-1.25;-1.0;-0.30354672618
273.0;-1.25;-0.75;-0.260550518128
274.0;-1.25;-0.5;-0.221936312571
275.0;-1.25;-0.25;-0.188079290838
276.0;-1.25;0.0;-0.15893035189
277.0;-1.25;0.25;-0.188079290838
278.0;-1.25;0.5;-0.221936312571
279.0;-1.25;0.75;-0.260550518128
280.0;-1.25;1.0;-0.30354672618
281.0;-1.25;1.25;-0.347396417469
