node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-0
2.0;0.0;-0.1;0.00294246953512
3.0;0.0;-0.2;0.00159755083426
4.0;0.0;-0.3;-0.00365332543858
5.0;0.0;-0.4;-0.012542241023
6.0;0.0;-0.5;-0.0247284770396
7.0;0.0;-0.6;-0.0392875279941
8.0;0.0;-0.7;-0.0547181425851
9.0;0.0;-0.8;-0.0700564239165
10.0;0.0;-0.9;-0.0856553869083
11.0;0.0;-1.0;-0.102399258395
12.0;0.0;-1.1;-0.120565117644
13.0;0.0;-1.2;-0.13982058268
14.0;0.0;-1.3;-0.160051466062
15.0;0.0;-1.4;-0.181665182222
16.0;0.0;-1.5;-0.205035596235
17.0;0.0;-1.6;-0.230085479471
18.0;0.0;-1.7;-0.256386314886
19.0;0.0;-1.8;-0.283357680752
20.0;0.0;-1.9;-0.310461293958
21.0;0.0;-2.0;-0.337426586962
22.0;0.1;0.0;0.0029424695354
23.0;0.1;-0.1;0.00202823304097
24.0;0.1;-0.2;-0.00281060612578
25.0;0.1;-0.3;-0.0111353020049
26.0;0.1;-0.4;-0.0223031056395
27.0;0.1;-0.5;-0.0354726982752
28.0;0.1;-0.6;-0.0498541372196
29.0;0.1;-0.7;-0.0648901586334
30.0;0.1;-0.8;-0.0803757689013
31.0;0.1;-0.9;-0.0965121959086
32.0;0.1;-1.0;-0.11368550035
33.0;0.1;-1.1;-0.132135658806
34.0;0.1;-1.2;-0.151896400953
35.0;0.1;-1.3;-0.173021154961
36.0;0.1;-1.4;-0.195684503308
37.0;0.1;-1.5;-0.219927906247
38.0;0.1;-1.6;-0.245416743846
39.0;0.1;-1.7;-0.271592975781
40.0;0.1;-1.8;-0.297991880867
41.0;0.1;-1.9;-0.324366633987
42.0;0.1;-2.0;-0.35064676299
43.0;0.2;0.0;0.00159755083449
44.0;0.2;-0.1;-0.0028106061255
45.0;0.2;-0.2;-0.0106900065677
46.0;0.2;-0.3;-0.0214574420155
47.0;0.2;-0.4;-0.0341850748287
48.0;0.2;-0.5;-0.0477138924514
49.0;0.2;-0.6;-0.0615154042021
50.0;0.2;-0.7;-0.0760079422822
51.0;0.2;-0.8;-0.0916756360554
52.0;0.2;-0.9;-0.108451311342
53.0;0.2;-1.0;-0.126149410788
54.0;0.2;-1.1;-0.144979904649
55.0;0.2;-1.2;-0.16536450467
56.0;0.2;-1.3;-0.187465396476
57.0;0.2;-1.4;-0.211111344162
58.0;0.2;-1.5;-0.235980404996
59.0;0.2;-1.6;-0.261561990682
60.0;0.2;-1.7;-0.287286613491
61.0;0.2;-1.8;-0.312883811337
62.0;0.2;-1.9;-0.338415244385
63.0;0.2;-2.0;-0.363974648393
64.0;0.3;0.0;-0.00365332543818
65.0;0.3;-0.1;-0.0111353020048
66.0;0.3;-0.2;-0.0214574420154
67.0;0.3;-0.3;-0.0335616074257
68.0;0.3;-0.4;-0.046599690862
69.0;0.3;-0.5;-0.0599889340047
70.0;0.3;-0.6;-0.0736950893265
71.0;0.3;-0.7;-0.088264660068
72.0;0.3;-0.8;-0.104166831011
73.0;0.3;-0.9;-0.121359010434
74.0;0.3;-1.0;-0.139672276789
75.0;0.3;-1.1;-0.159290487766
76.0;0.3;-1.2;-0.180579118887
77.0;0.3;-1.3;-0.203552713996
78.0;0.3;-1.4;-0.227769100657
79.0;0.3;-1.5;-0.252683899497
80.0;0.3;-1.6;-0.277826447626
81.0;0.3;-1.7;-0.302852756076
82.0;0.3;-1.8;-0.327683692665
83.0;0.3;-1.9;-0.352467043878
84.0;0.3;-2.0;-0.377320703067
85.0;0.4;0.0;-0.0125422410226
86.0;0.4;-0.1;-0.0223031056393
87.0;0.4;-0.2;-0.0341850748284
88.0;0.4;-0.3;-0.0465996908619
89.0;0.4;-0.4;-0.0590920163998
90.0;0.4;-0.5;-0.0721960044275
91.0;0.4;-0.6;-0.0863866864182
92.0;0.4;-0.7;-0.101648136036
93.0;0.4;-0.8;-0.117932255353
94.0;0.4;-0.9;-0.135460907648
95.0;0.4;-1.0;-0.154513373685
96.0;0.4;-1.1;-0.175203967481
97.0;0.4;-1.2;-0.197464604152
98.0;0.4;-1.3;-0.220994827073
99.0;0.4;-1.4;-0.245230852595
100.0;0.4;-1.5;-0.2696164077
101.0;0.4;-1.6;-0.293915367746
102.0;0.4;-1.7;-0.31813353137
103.0;0.4;-1.8;-0.342310130808
104.0;0.4;-1.9;-0.366474261272
105.0;0.4;-2.0;-0.390658481719
106.0;0.5;0.0;-0.0247284770389
107.0;0.5;-0.1;-0.0354726982746
108.0;0.5;-0.2;-0.0477138924511
109.0;0.5;-0.3;-0.0599889340047
110.0;0.5;-0.4;-0.0721960044277
111.0;0.5;-0.5;-0.0853313807268
112.0;0.5;-0.6;-0.100025051114
113.0;0.5;-0.7;-0.115978650796
114.0;0.5;-0.8;-0.132894322631
115.0;0.5;-0.9;-0.151103755326
116.0;0.5;-1.0;-0.171057469392
117.0;0.5;-1.1;-0.192703139085
118.0;0.5;-1.2;-0.215569406253
119.0;0.5;-1.3;-0.239126167995
120.0;0.5;-1.4;-0.26288182518
121.0;0.5;-1.5;-0.286480326848
122.0;0.5;-1.6;-0.309912156292
123.0;0.5;-1.7;-0.333362382256
124.0;0.5;-1.8;-0.356898469436
125.0;0.5;-1.9;-0.380451618984
126.0;0.5;-2.0;-0.403981465545
127.0;0.6;0.0;-0.0392875279924
128.0;0.6;-0.1;-0.0498541372184
129.0;0.6;-0.2;-0.0615154042011
130.0;0.6;-0.3;-0.0736950893265
131.0;0.6;-0.4;-0.0863866864188
132.0;0.6;-0.5;-0.100025051115
133.0;0.6;-0.6;-0.115004274377
134.0;0.6;-0.7;-0.131393644398
135.0;0.6;-0.8;-0.149157789321
136.0;0.6;-0.9;-0.168422132062
137.0;0.6;-1.0;-0.189295041112
138.0;0.6;-1.1;-0.211488010022
139.0;0.6;-1.2;-0.234367964018
140.0;0.6;-1.3;-0.257395092643
141.0;0.6;-1.4;-0.280341050751
142.0;0.6;-1.5;-0.303167988096
143.0;0.6;-1.6;-0.325929876221
144.0;0.6;-1.7;-0.348719213231
145.0;0.6;-1.8;-0.371571310243
146.0;0.6;-1.9;-0.394445279924
147.0;0.6;-2.0;-0.41730223627
148.0;0.7;0.0;-0.0547181425825
149.0;0.7;-0.1;-0.0648901586314
150.0;0.7;-0.2;-0.0760079422807
151.0;0.7;-0.3;-0.0882646600676
152.0;0.7;-0.4;-0.101648136036
153.0;0.7;-0.5;-0.115978650797
154.0;0.7;-0.6;-0.131393644399
155.0;0.7;-0.7;-0.148338862327
156.0;0.7;-0.8;-0.167033112603
157.0;0.7;-0.9;-0.187291015264
158.0;0.7;-1.0;-0.208758384978
159.0;0.7;-1.1;-0.230967437779
160.0;0.7;-1.2;-0.25336032738
161.0;0.7;-1.3;-0.275579318741
162.0;0.7;-1.4;-0.29766631495
163.0;0.7;-1.5;-0.319790319761
164.0;0.7;-1.6;-0.341968555805
165.0;0.7;-1.7;-0.364142666241
166.0;0.7;-1.8;-0.386302685263
167.0;0.7;-1.9;-0.408465838181
168.0;0.7;-2.0;-0.43063058726
169.0;0.8;0.0;-0.070056423913
170.0;0.8;-0.1;-0.0803757688989
171.0;0.8;-0.2;-0.091675636054
172.0;0.8;-0.3;-0.104166831011
173.0;0.8;-0.4;-0.117932255353
174.0;0.8;-0.5;-0.132894322632
175.0;0.8;-0.6;-0.149157789322
176.0;0.8;-0.7;-0.167033112604
177.0;0.8;-0.8;-0.186590094762
178.0;0.8;-0.9;-0.207413485445
179.0;0.8;-1.0;-0.228897795208
180.0;0.8;-1.1;-0.250582483253
181.0;0.8;-1.2;-0.27219694571
182.0;0.8;-1.3;-0.293647507704
183.0;0.8;-1.4;-0.315032283126
184.0;0.8;-1.5;-0.336486768149
185.0;0.8;-1.6;-0.358011893901
186.0;0.8;-1.7;-0.379529723511
187.0;0.8;-1.8;-0.40101184735
188.0;0.8;-1.9;-0.42248248186
189.0;0.8;-2.0;-0.443958910561
190.0;0.9;0.0;-0.0856553869048
191.0;0.9;-0.1;-0.0965121959067
192.0;0.9;-0.2;-0.108451311342
193.0;0.9;-0.3;-0.121359010434
194.0;0.9;-0.4;-0.135460907648
195.0;0.9;-0.5;-0.151103755326
196.0;0.9;-0.6;-0.168422132063
197.0;0.9;-0.7;-0.187291015265
198.0;0.9;-0.8;-0.207413485445
199.0;0.9;-0.9;-0.228264062578
200.0;0.9;-1.0;-0.249255092375
201.0;0.9;-1.1;-0.27010792134
202.0;0.9;-1.2;-0.290877036618
203.0;0.9;-1.3;-0.311657579404
204.0;0.9;-1.4;-0.332451253388
205.0;0.9;-1.5;-0.353250524028
206.0;0.9;-1.6;-0.374062701881
207.0;0.9;-1.7;-0.394878206126
208.0;0.9;-1.8;-0.415682937251
209.0;0.9;-1.9;-0.43648002304
210.0;0.9;-2.0;-0.457279808511
211.0;1.0;0.0;-0.102399258393
212.0;1.0;-0.1;-0.11368550035
213.0;1.0;-0.2;-0.126149410789
214.0;1.0;-0.3;-0.13967227679
215.0;1.0;-0.4;-0.154513373686
216.0;1.0;-0.5;-0.171057469392
217.0;1.0;-0.6;-0.189295041113
218.0;1.0;-0.7;-0.20875838498
219.0;1.0;-0.8;-0.228897795209
220.0;1.0;-0.9;-0.249255092375
221.0;1.0;-1.0;-0.269496403709
222.0;1.0;-1.1;-0.289550572428
223.0;1.0;-1.2;-0.309578448645
224.0;1.0;-1.3;-0.329699984674
225.0;1.0;-1.4;-0.349866061612
226.0;1.0;-1.5;-0.370003412291
227.0;1.0;-1.6;-0.390114574821
228.0;1.0;-1.7;-0.410228645456
229.0;1.0;-1.8;-0.430350923552
230.0;1.0;-1.9;-0.450474477522
231.0;1.0;-2.0;-0.470598551496
232.0;1.1;0.0;-0.120565117644
233.0;1.1;-0.1;-0.132135658808
234.0;1.1;-0.2;-0.144979904651
235.0;1.1;-0.3;-0.159290487768
236.0;1.1;-0.4;-0.175203967482
237.0;1.1;-0.5;-0.192703139086
238.0;1.1;-0.6;-0.211488010024
239.0;1.1;-0.7;-0.230967437781
240.0;1.1;-0.8;-0.250582483254
241.0;1.1;-0.9;-0.270107921341
242.0;1.1;-1.0;-0.289550572428
243.0;1.1;-1.1;-0.308953641207
244.0;1.1;-1.2;-0.328359485477
245.0;1.1;-1.3;-0.347801688727
246.0;1.1;-1.4;-0.367267744256
247.0;1.1;-1.5;-0.386722555989
248.0;1.1;-1.6;-0.40615883488
249.0;1.1;-1.7;-0.425593186498
250.0;1.1;-1.8;-0.445034931841
251.0;1.1;-1.9;-0.464479710074
252.0;1.1;-2.0;-0.483923108475
253.0;1.2;0.0;-0.139820582681
254.0;1.2;-0.1;-0.151896400954
255.0;1.2;-0.2;-0.165364504671
256.0;1.2;-0.3;-0.180579118888
257.0;1.2;-0.4;-0.197464604153
258.0;1.2;-0.5;-0.215569406255
259.0;1.2;-0.6;-0.234367964019
260.0;1.2;-0.7;-0.253360327382
261.0;1.2;-0.8;-0.272196945711
262.0;1.2;-0.9;-0.29087703662
263.0;1.2;-1.0;-0.309578448646
264.0;1.2;-1.1;-0.328359485478
265.0;1.2;-1.2;-0.347151103838
266.0;1.2;-1.3;-0.365915103439
267.0;1.2;-1.4;-0.384671815392
268.0;1.2;-1.5;-0.403434856518
269.0;1.2;-1.6;-0.422198825788
270.0;1.2;-1.7;-0.440961061668
271.0;1.2;-1.8;-0.459724811059
272.0;1.2;-1.9;-0.478490005746
273.0;1.2;-2.0;-0.497253566227
274.0;1.3;0.0;-0.160051466063
275.0;1.3;-0.1;-0.173021154961
276.0;1.3;-0.2;-0.187465396476
277.0;1.3;-0.3;-0.203552713996
278.0;1.3;-0.4;-0.220994827073
279.0;1.3;-0.5;-0.239126167996
280.0;1.3;-0.6;-0.257395092644
281.0;1.3;-0.7;-0.275579318742
282.0;1.3;-0.8;-0.293647507704
283.0;1.3;-0.9;-0.311657579404
284.0;1.3;-1.0;-0.329699984675
