node_number;x[m];y[m];z[m]
1.0;0.0;0.0;-2.85
2.0;0.0;-0.1;-2.84540203955
3.0;0.0;-0.2;-2.84756480183
4.0;0.0;-0.3;-2.85588538393
5.0;0.0;-0.4;-2.86988287601
6.0;0.0;-0.5;-2.88893349672
7.0;0.0;-0.6;-2.9115551639
8.0;0.0;-0.7;-2.93544796621
9.0;0.0;-0.8;-2.95908132743
10.0;0.0;-0.9;-2.98276195771
11.0;0.0;-1.0;-3.00758007668
12.0;0.0;-1.1;-3.03391159554
13.0;0.0;-1.2;-3.06136611446
14.0;0.0;-1.3;-3.0897649984
15.0;0.0;-1.4;-3.11952144799
16.0;0.0;-1.5;-3.15104074927
17.0;0.0;-1.6;-3.18425332207
18.0;0.0;-1.7;-3.21871851106
19.0;0.0;-1.8;-3.25384818555
20.0;0.0;-1.9;-3.28910733009
21.0;0.0;-2.0;-3.32423015749
22.0;0.1;0.0;-2.84540203955
23.0;0.1;-0.1;-2.84690633694
24.0;0.1;-0.2;-2.85463125122
25.0;0.1;-0.3;-2.8679137619
26.0;0.1;-0.4;-2.88568389128
27.0;0.1;-0.5;-2.90650229485
28.0;0.1;-0.6;-2.92901103128
29.0;0.1;-0.7;-2.95224086142
30.0;0.1;-0.8;-2.97578270035
31.0;0.1;-0.9;-2.99985134014
32.0;0.1;-1.0;-3.02494612366
33.0;0.1;-1.1;-3.0513643398
34.0;0.1;-1.2;-3.07911073122
35.0;0.1;-1.3;-3.10820087944
36.0;0.1;-1.4;-3.13881187327
37.0;0.1;-1.5;-3.17100585103
38.0;0.1;-1.6;-3.20445444397
39.0;0.1;-1.7;-3.23859142086
40.0;0.1;-1.8;-3.27294623875
41.0;0.1;-1.9;-3.30727439164
42.0;0.1;-2.0;-3.34150921839
43.0;0.2;0.0;-2.84756480183
44.0;0.2;-0.1;-2.85463125122
45.0;0.2;-0.2;-2.86721797707
46.0;0.2;-0.3;-2.88446090363
47.0;0.2;-0.4;-2.90482477731
48.0;0.2;-0.5;-2.92633192731
49.0;0.2;-0.6;-2.94796958739
50.0;0.2;-0.7;-2.97018418738
51.0;0.2;-0.8;-2.99359485702
52.0;0.2;-0.9;-3.01813863291
53.0;0.2;-1.0;-3.0435948548
54.0;0.2;-1.1;-3.07017579344
55.0;0.2;-1.2;-3.09831439001
56.0;0.2;-1.3;-3.12816903221
57.0;0.2;-1.4;-3.15956418939
58.0;0.2;-1.5;-3.19218198369
59.0;0.2;-1.6;-3.22551553781
60.0;0.2;-1.7;-3.25899309685
61.0;0.2;-1.8;-3.29234126791
62.0;0.2;-1.9;-3.32562234293
63.0;0.2;-2.0;-3.35893200604
64.0;0.3;0.0;-2.85588538393
65.0;0.3;-0.1;-2.8679137619
66.0;0.3;-0.2;-2.88446090363
67.0;0.3;-0.3;-2.90392136106
68.0;0.3;-0.4;-2.92483515446
69.0;0.3;-0.5;-2.94604152239
70.0;0.3;-0.6;-2.96727430084
71.0;0.3;-0.7;-2.9892501997
72.0;0.3;-0.8;-3.0126364244
73.0;0.3;-0.9;-3.03739266857
74.0;0.3;-1.0;-3.06327190605
75.0;0.3;-1.1;-3.09043274753
76.0;0.3;-1.2;-3.11925923229
77.0;0.3;-1.3;-3.1497770569
78.0;0.3;-1.4;-3.18154027798
79.0;0.3;-1.5;-3.21400108814
80.0;0.3;-1.6;-3.24668967467
81.0;0.3;-1.7;-3.27926248399
82.0;0.3;-1.8;-3.31163958533
83.0;0.3;-1.9;-3.3439687059
84.0;0.3;-2.0;-3.37636844265
85.0;0.4;0.0;-2.86988287602
86.0;0.4;-0.1;-2.88568389128
87.0;0.4;-0.2;-2.90482477731
88.0;0.4;-0.3;-2.92483515446
89.0;0.4;-0.4;-2.94481793205
90.0;0.4;-0.5;-2.96528661406
91.0;0.4;-0.6;-2.98679273921
92.0;0.4;-0.7;-3.00935411773
93.0;0.4;-0.8;-3.03295295179
94.0;0.4;-0.9;-3.05782099343
95.0;0.4;-1.0;-3.08422084696
96.0;0.4;-1.1;-3.1122537189
97.0;0.4;-1.2;-3.14185347573
98.0;0.4;-1.3;-3.17272444967
99.0;0.4;-1.4;-3.2043026598
100.0;0.4;-1.5;-3.23603055819
101.0;0.4;-1.6;-3.26767180964
102.0;0.4;-1.7;-3.29923239311
103.0;0.4;-1.8;-3.33075127944
104.0;0.4;-1.9;-3.36225750823
105.0;0.4;-2.0;-3.39378406336
106.0;0.5;0.0;-2.88893349672
107.0;0.5;-0.1;-2.90650229485
108.0;0.5;-0.2;-2.92633192731
109.0;0.5;-0.3;-2.94604152239
110.0;0.5;-0.4;-2.96528661406
111.0;0.5;-0.5;-2.98538383312
112.0;0.5;-0.6;-3.0072015255
113.0;0.5;-0.7;-3.03035996337
114.0;0.5;-0.8;-3.05444479112
115.0;0.5;-0.9;-3.07978326696
116.0;0.5;-1.0;-3.10686467628
117.0;0.5;-1.1;-3.13564995666
118.0;0.5;-1.2;-3.16565936814
119.0;0.5;-1.3;-3.19635622262
120.0;0.5;-1.4;-3.22724940941
121.0;0.5;-1.5;-3.25798584162
122.0;0.5;-1.6;-3.28855667204
123.0;0.5;-1.7;-3.31914615761
124.0;0.5;-1.8;-3.34982101391
125.0;0.5;-1.9;-3.38051254589
126.0;0.5;-2.0;-3.41118099859
127.0;0.6;0.0;-2.9115551639
128.0;0.6;-0.1;-2.92901103128
129.0;0.6;-0.2;-2.94796958738
130.0;0.6;-0.3;-2.96727430084
131.0;0.6;-0.4;-2.98679273921
132.0;0.6;-0.5;-3.0072015255
133.0;0.6;-0.6;-3.02909286674
134.0;0.6;-0.7;-3.0524885995
135.0;0.6;-0.8;-3.07723224464
136.0;0.6;-0.9;-3.10342441652
137.0;0.6;-1.0;-3.13121632784
138.0;0.6;-1.1;-3.16034442042
139.0;0.6;-1.2;-3.19016689865
140.0;0.6;-1.3;-3.22013157073
141.0;0.6;-1.4;-3.25001021255
142.0;0.6;-1.5;-3.27977036459
143.0;0.6;-1.6;-3.30946769983
144.0;0.6;-1.7;-3.33919287774
145.0;0.6;-1.8;-3.36897985115
146.0;0.6;-1.9;-3.39878816847
