element_number;x[m];y[m];t[mm]
1.0;0.05;0.05;60.1515042261
2.0;0.05;0.15;60.1338208264
3.0;0.05;0.25;60.1347669522
4.0;0.05;0.35;60.1363452895
5.0;0.05;0.45;60.1348402927
6.0;0.05;0.55;60.1351124603
7.0;0.05;0.65;60.1361806655
8.0;0.05;0.75;60.13733428
9.0;0.05;0.85;60.1377163322
10.0;0.05;0.95;60.1385147959
11.0;0.05;1.05;60.1394520285
12.0;0.05;1.15;60.1402940533
13.0;0.05;1.25;60.1413745721
14.0;0.05;1.35;60.1420722421
15.0;0.05;1.45;60.1435135461
16.0;0.05;1.55;60.1441201586
17.0;0.05;1.65;60.1459127262
18.0;0.05;1.75;60.1464376355
19.0;0.05;1.85;60.1486394449
20.0;0.05;1.95;60.1491685372
21.0;0.05;2.05;60.1517815586
22.0;0.05;2.15;60.1524342769
23.0;0.05;2.25;60.1556439517
24.0;0.05;2.35;60.156557878
25.0;0.05;2.45;60.1599236076
26.0;0.05;2.55;60.1617994266
27.0;0.05;2.65;60.1677442865
28.0;0.05;2.75;60.1685720887
29.0;0.05;2.85;60.1699660538
30.0;0.05;2.95;60.1829313131
31.0;0.05;3.05;60.2070043597
32.0;0.05;3.15;60.1785067016
33.0;0.05;3.25;60.1521167275
34.0;0.05;3.35;60.338201777
35.0;0.05;3.45;60.4918443149
36.0;0.15;0.05;60.133804592
37.0;0.15;0.15;60.127257534
38.0;0.15;0.25;60.1293321682
39.0;0.15;0.35;60.1310853376
40.0;0.15;0.45;60.1304253962
41.0;0.15;0.55;60.1304942504
42.0;0.15;0.65;60.1315290055
43.0;0.15;0.75;60.1323131512
44.0;0.15;0.85;60.1326367382
45.0;0.15;0.95;60.1330508261
46.0;0.15;1.05;60.133680369
47.0;0.15;1.15;60.1342692884
48.0;0.15;1.25;60.1347399212
49.0;0.15;1.35;60.135396833
50.0;0.15;1.45;60.1358437877
51.0;0.15;1.55;60.1366685363
52.0;0.15;1.65;60.1370678339
53.0;0.15;1.75;60.1380189296
54.0;0.15;1.85;60.1385026642
55.0;0.15;1.95;60.1395146623
56.0;0.15;2.05;60.1402298034
57.0;0.15;2.15;60.1411730938
58.0;0.15;2.25;60.1424573564
59.0;0.15;2.35;60.1431998863
60.0;0.15;2.45;60.1447568812
61.0;0.15;2.55;60.145661573
