element_number;x[m];y[m];t[mm]
1.0;-3.375;-3.375;60.1294220835
2.0;-3.375;-3.125;60.1320973247
3.0;-3.375;-2.875;60.1328080545
4.0;-3.375;-2.625;60.1349975765
5.0;-3.375;-2.375;60.1370928259
6.0;-3.375;-2.125;60.1394526467
7.0;-3.375;-1.875;60.141976937
8.0;-3.375;-1.625;60.1448581252
9.0;-3.375;-1.375;60.1480745542
10.0;-3.375;-1.125;60.1518146227
11.0;-3.375;-0.875;60.1596733208
12.0;-3.375;-0.625;60.1647485753
13.0;-3.375;-0.375;60.179999469
14.0;-3.375;-0.125;60.3395572725
15.0;-3.125;-3.375;60.1320849315
16.0;-3.125;-3.125;60.1304067918
17.0;-3.125;-2.875;60.1296862124
18.0;-3.125;-2.625;60.1298305243
19.0;-3.125;-2.375;60.1298806761
20.0;-3.125;-2.125;60.1295720643
21.0;-3.125;-1.875;60.129747112
22.0;-3.125;-1.625;60.1296811676
23.0;-3.125;-1.375;60.1293200351
24.0;-3.125;-1.125;60.1297820928
25.0;-3.125;-0.875;60.129642539
26.0;-3.125;-0.625;60.1279445818
27.0;-3.125;-0.375;60.1299396264
28.0;-3.125;-0.125;60.1371648113
29.0;-2.875;-3.375;60.1328009315
30.0;-2.875;-3.125;60.1296842949
31.0;-2.875;-2.875;60.1292933712
32.0;-2.875;-2.625;60.1294347151
33.0;-2.875;-2.375;60.1293160893
34.0;-2.875;-2.125;60.1292029753
35.0;-2.875;-1.875;60.1290477814
36.0;-2.875;-1.625;60.1288982149
37.0;-2.875;-1.375;60.1287776649
38.0;-2.875;-1.125;60.1284880427
39.0;-2.875;-0.875;60.1280755165
40.0;-2.875;-0.625;60.1281989013
41.0;-2.875;-0.375;60.1262862463
42.0;-2.875;-0.125;60.1144192664
43.0;-2.625;-3.375;60.1349977465
44.0;-2.625;-3.125;60.1298299887
45.0;-2.625;-2.875;60.1294359046
46.0;-2.625;-2.625;60.1298370895
47.0;-2.625;-2.375;60.1298207829
48.0;-2.625;-2.125;60.1298359638
49.0;-2.625;-1.875;60.1298692718
50.0;-2.625;-1.625;60.1299012196
51.0;-2.625;-1.375;60.1299883375
52.0;-2.625;-1.125;60.1299713206
53.0;-2.625;-0.875;60.1296931823
54.0;-2.625;-0.625;60.1321382185
55.0;-2.625;-0.375;60.1301988762
56.0;-2.625;-0.125;60.1008269277
57.0;-2.375;-3.375;60.1370986588
58.0;-2.375;-3.125;60.1298807707
59.0;-2.375;-2.875;60.129318223
60.0;-2.375;-2.625;60.1298223169
61.0;-2.375;-2.375;60.1297510667
62.0;-2.375;-2.125;60.1297311341
63.0;-2.375;-1.875;60.1297365497
64.0;-2.375;-1.625;60.1297292635
65.0;-2.375;-1.375;60.1297902305
66.0;-2.375;-1.125;60.1296783438
67.0;-2.375;-0.875;60.1287678234
68.0;-2.375;-0.625;60.1350381785
69.0;-2.375;-0.375;60.1279125065
70.0;-2.375;-0.125;60.0606822561
71.0;-2.125;-3.375;60.1394638192
72.0;-2.125;-3.125;60.1295717572
73.0;-2.125;-2.875;60.1292042087
74.0;-2.125;-2.625;60.1298365142
75.0;-2.125;-2.375;60.1297297689
76.0;-2.125;-2.125;60.1297202323
77.0;-2.125;-1.875;60.1297247598
78.0;-2.125;-1.625;60.129715176
79.0;-2.125;-1.375;60.1298188964
80.0;-2.125;-1.125;60.1296101041
81.0;-2.125;-0.875;60.1294986528
82.0;-2.125;-0.625;60.1302570024
83.0;-2.125;-0.375;60.1471047529
84.0;-2.125;-0.125;59.9182273311
85.0;-1.875;-3.375;60.1419941816
86.0;-1.875;-3.125;60.1297488828
87.0;-1.875;-2.875;60.1290515068
88.0;-1.875;-2.625;60.1298731137
89.0;-1.875;-2.375;60.1297388012
90.0;-1.875;-2.125;60.1297287971
91.0;-1.875;-1.875;60.1297316594
92.0;-1.875;-1.625;60.1297457384
93.0;-1.875;-1.375;60.1296628738
94.0;-1.875;-1.125;60.1298634097
95.0;-1.875;-0.875;60.1272552135
96.0;-1.875;-0.625;60.1455405971
97.0;-1.875;-0.375;60.1239719382
98.0;-1.875;-0.125;61.6918796165
99.0;-1.625;-3.375;60.1448815347
100.0;-1.625;-3.125;60.1296835873
101.0;-1.625;-2.875;60.1289022221
102.0;-1.625;-2.625;60.1299057124
103.0;-1.625;-2.375;60.129732098
104.0;-1.625;-2.125;60.1297197522
105.0;-1.625;-1.875;60.1297462788
106.0;-1.625;-1.625;60.129690971
107.0;-1.625;-1.375;60.1304046709
108.0;-1.625;-1.125;60.1286261342
109.0;-1.625;-0.875;60.1474197831
110.0;-1.625;-0.625;60.0654272304
111.0;-1.625;-0.375;61.6639133646
112.0;-1.625;-0.125;72.0569238137
113.0;-1.375;-3.375;60.1481056832
114.0;-1.375;-3.125;60.1293226737
115.0;-1.375;-2.875;60.1287808288
116.0;-1.375;-2.625;60.1299920354
117.0;-1.375;-2.375;60.1297919584
118.0;-1.375;-2.125;60.1298221136
119.0;-1.375;-1.875;60.1296624163
120.0;-1.375;-1.625;60.130404259
121.0;-1.375;-1.375;60.1250174778
122.0;-1.375;-1.125;60.1448588347
123.0;-1.375;-0.875;60.0483093752
124.0;-1.375;-0.625;61.7635413479
125.0;-1.375;-0.375;72.0321136845
126.0;-1.375;-0.125;92.0072905518
127.0;-1.125;-3.375;60.1518522205
128.0;-1.125;-3.125;60.1297852008
129.0;-1.125;-2.875;60.1284910439
130.0;-1.125;-2.625;60.1299755421
131.0;-1.125;-2.375;60.1296803852
132.0;-1.125;-2.125;60.1296137087
133.0;-1.125;-1.875;60.1298627576
134.0;-1.125;-1.625;60.1286247707
135.0;-1.125;-1.375;60.1448549994
136.0;-1.125;-1.125;60.1292214033
137.0;-1.125;-0.875;61.685658626
138.0;-1.125;-0.625;72.0238282703
139.0;-1.125;-0.375;91.9815992669
140.0;-1.125;-0.125;121.285326569
141.0;-0.875;-3.375;60.1597111849
142.0;-0.875;-3.125;60.1296364961
143.0;-0.875;-2.875;60.1280679085
144.0;-0.875;-2.625;60.129686571
145.0;-0.875;-2.375;60.1287577487
146.0;-0.875;-2.125;60.1294865921
147.0;-0.875;-1.875;60.1272369282
148.0;-0.875;-1.625;60.1473961507
149.0;-0.875;-1.375;60.0482694677
150.0;-0.875;-1.125;61.6856173091
151.0;-0.875;-0.875;72.0455217019
152.0;-0.875;-0.625;91.9708062819
153.0;-0.875;-0.375;121.254611712
154.0;-0.875;-0.125;159.816177774
155.0;-0.625;-3.375;60.164873675
156.0;-0.625;-3.125;60.1280078698
157.0;-0.625;-2.875;60.1282576672
158.0;-0.625;-2.625;60.1322064346
159.0;-0.625;-2.375;60.1351145312
160.0;-0.625;-2.125;60.1303436656
161.0;-0.625;-1.875;60.1456462125
162.0;-0.625;-1.625;60.0655604923
163.0;-0.625;-1.375;61.763712022
164.0;-0.625;-1.125;72.0241022645
165.0;-0.625;-0.875;91.9714399302
166.0;-0.625;-0.625;121.245342361
167.0;-0.625;-0.375;159.768757798
168.0;-0.625;-0.125;207.356570697
