element_number;x[m];y[m];t[mm]
1.0;0.05;-0.05;315.624725298
2.0;0.05;-0.15;313.021278989
3.0;0.05;-0.25;302.589037102
4.0;0.05;-0.35;285.475094171
5.0;0.05;-0.45;263.397903722
6.0;0.05;-0.55;238.519111927
7.0;0.05;-0.65;213.098785348
8.0;0.05;-0.75;188.714702961
9.0;0.05;-0.85;166.06825537
10.0;0.05;-0.95;145.472760488
11.0;0.05;-1.05;127.136611411
12.0;0.05;-1.15;111.085324712
13.0;0.05;-1.25;97.3425913747
14.0;0.05;-1.35;86.3061346379
15.0;0.05;-1.45;78.4873392131
16.0;0.05;-1.55;73.851896638
17.0;0.05;-1.65;71.6957672901
18.0;0.05;-1.75;71.0353922513
19.0;0.05;-1.85;70.9050881128
20.0;0.05;-1.95;70.6475841084
21.0;0.15;-0.05;313.021279162
22.0;0.15;-0.15;303.396950276
23.0;0.15;-0.25;286.585056727
24.0;0.15;-0.35;264.117858741
25.0;0.15;-0.45;238.789881267
26.0;0.15;-0.55;213.200830032
27.0;0.15;-0.65;188.778200318
28.0;0.15;-0.75;166.221972428
29.0;0.15;-0.85;145.807188242
30.0;0.15;-0.95;127.425739196
31.0;0.15;-1.05;111.067412049
32.0;0.15;-1.15;97.1853592168
33.0;0.15;-1.25;86.3229530817
34.0;0.15;-1.35;78.6850281139
35.0;0.15;-1.45;74.1100037323
36.0;0.15;-1.55;71.9970626744
37.0;0.15;-1.65;71.2872490846
38.0;0.15;-1.75;70.9731879379
39.0;0.15;-1.85;70.6075919463
40.0;0.15;-1.95;70.1493005632
41.0;0.25;-0.05;302.589037725
42.0;0.25;-0.15;286.585057046
43.0;0.25;-0.25;265.013151796
44.0;0.25;-0.35;239.449883367
45.0;0.25;-0.45;213.035757208
46.0;0.25;-0.55;188.219769981
47.0;0.25;-0.65;165.696915959
48.0;0.25;-0.75;145.394342349
49.0;0.25;-0.85;127.265192527
50.0;0.25;-0.95;111.180501605
51.0;0.25;-1.05;97.2204272752
52.0;0.25;-1.15;86.0770943838
53.0;0.25;-1.25;78.3788541996
54.0;0.25;-1.35;73.9253739716
55.0;0.25;-1.45;71.9225755885
56.0;0.25;-1.55;71.4139354257
57.0;0.25;-1.65;71.3550800058
58.0;0.25;-1.75;70.995121592
59.0;0.25;-1.85;70.328764369
60.0;0.25;-1.95;69.681425173
61.0;0.35;-0.05;285.475094514
62.0;0.35;-0.15;264.11785917
63.0;0.35;-0.25;239.449883531
64.0;0.35;-0.35;213.719394545
65.0;0.35;-0.45;188.546898585
66.0;0.35;-0.55;165.645084117
67.0;0.35;-0.65;145.318751087
68.0;0.35;-0.75;127.153541658
69.0;0.35;-0.85;111.015385837
70.0;0.35;-0.95;97.238018354
71.0;0.35;-1.05;86.2679100323
72.0;0.35;-1.15;78.4888302696
73.0;0.35;-1.25;73.9432015812
74.0;0.35;-1.35;71.9629459586
75.0;0.35;-1.45;71.4039743419
76.0;0.35;-1.55;71.2920831795
77.0;0.35;-1.65;71.089417617
78.0;0.35;-1.75;70.6029916938
79.0;0.35;-1.85;69.9305155621
80.0;0.35;-1.95;69.2838797346
81.0;0.45;-0.05;263.397902875
82.0;0.45;-0.15;238.789880641
83.0;0.45;-0.25;213.035757832
84.0;0.45;-0.35;188.546898326
85.0;0.45;-0.45;166.149089325
86.0;0.45;-0.55;145.702656284
87.0;0.45;-0.65;127.53496199
88.0;0.45;-0.75;111.396341439
89.0;0.45;-0.85;97.3946462638
90.0;0.45;-0.95;86.3016760073
91.0;0.45;-1.05;78.6486985534
92.0;0.45;-1.15;74.1734741776
93.0;0.45;-1.25;72.1673049563
94.0;0.45;-1.35;71.6588010265
95.0;0.45;-1.45;71.5413806607
96.0;0.45;-1.55;71.1383610429
97.0;0.45;-1.65;70.5179018425
98.0;0.45;-1.75;69.9432028082
99.0;0.45;-1.85;69.4235034551
100.0;0.45;-1.95;68.8917407545
101.0;0.55;-0.05;238.519112278
102.0;0.55;-0.15;213.200829358
103.0;0.55;-0.25;188.219770622
104.0;0.55;-0.35;165.645083787
105.0;0.55;-0.45;145.702656203
106.0;0.55;-0.55;127.81998985
107.0;0.55;-0.65;111.634133235
108.0;0.55;-0.75;97.7435122469
109.0;0.55;-0.85;86.6211183359
110.0;0.55;-0.95;78.8001993835
111.0;0.55;-1.05;74.3122633683
112.0;0.55;-1.15;72.3452012272
113.0;0.55;-1.25;71.7641966488
114.0;0.55;-1.35;71.651129873
115.0;0.55;-1.45;71.3881578762
116.0;0.55;-1.55;70.7571873258
117.0;0.55;-1.65;69.9988806969
118.0;0.55;-1.75;69.3983463662
119.0;0.55;-1.85;68.935785539
120.0;0.55;-1.95;68.4646776727
121.0;0.65;-0.05;213.098785521
122.0;0.65;-0.15;188.778200358
123.0;0.65;-0.25;165.696915337
124.0;0.65;-0.35;145.318751174
125.0;0.65;-0.45;127.53496219
126.0;0.65;-0.55;111.634133073
127.0;0.65;-0.65;97.7463382393
128.0;0.65;-0.75;86.603731281
129.0;0.65;-0.85;78.9168526303
130.0;0.65;-0.95;74.4353369784
131.0;0.65;-1.05;72.4634064028
132.0;0.65;-1.15;71.9355864462
133.0;0.65;-1.25;71.7453431514
134.0;0.65;-1.35;71.3529071952
135.0;0.65;-1.45;70.7918495829
136.0;0.65;-1.55;70.1956138269
137.0;0.65;-1.65;69.6001656495
138.0;0.65;-1.75;69.0402142763
139.0;0.65;-1.85;68.530264569
