x[m];y[m];z[m];N_ip[MN];V_ip[MN];V_op[MN]
0.5;7.0;0.92700050739;2.22188027268e-05;-9.60806412729e-17;2.08333333441e-06
1.5;7.0;0.926999955989;-7.48881196896e-06;1.68322387278e-17;2.08333333248e-06
2.5;7.0;0.926999205656;-6.48528343714e-05;3.26344853918e-17;2.46208739247e-06
3.5;7.0;0.927000002831;8.0495030166e-05;-5.1147237487e-17;2.65165042951e-06
4.5;7.0;0.926999205656;-6.98852433589e-05;-1.05438661274e-17;2.46208739219e-06
5.5;7.0;0.926999955989;-2.04162789054e-05;1.63579002774e-17;2.08333333336e-06
6.5;7.0;0.92700050739;3.27130490804e-05;-1.29308049728e-17;2.08333333441e-06
7.5;7.0;0.92700050739;3.27130489696e-05;-8.39036956232e-17;2.0833333339e-06
8.5;7.0;0.926999955989;-2.04162788033e-05;6.6434488119e-17;2.08333333303e-06
9.5;7.0;0.926999205656;-6.9885243314e-05;7.52436307705e-17;2.46208739197e-06
11.5;7.0;0.926999205656;-6.48528343594e-05;1.33627917759e-17;2.46208739195e-06
12.5;7.0;0.926999955989;-7.48881197272e-06;5.36137974294e-17;2.08333333184e-06
13.5;7.0;0.92700050739;2.22188026883e-05;-4.3696735683e-17;2.08333333246e-06
7.0;0.5;0.927000505214;2.22434830943e-05;-4.55093861901e-17;2.08333333826e-06
7.0;1.5;0.926999954865;-7.50080921175e-06;3.49519675355e-17;2.08333333776e-06
7.0;2.5;0.926999199743;-6.48654363235e-05;5.53214158511e-17;2.46208739065e-06
7.0;3.5;0.927;8.04893259091e-05;1.97324795392e-17;2.65165042599e-06
7.0;4.5;0.926999199743;-6.98937001744e-05;6.13658429627e-17;2.46208739434e-06
7.0;5.5;0.926999954865;-2.04219952329e-05;-3.00866102865e-17;2.08333333198e-06
7.0;6.5;0.927000505214;3.27322110816e-05;6.96261082643e-19;2.08333335267e-06
