X[m];Y[m];Z[m];u-x[m];u-y[m];u-z[m];du-y[m];du-z[m]
0.0;7.0;0.926999999996;-3.00979657701e-05;5.41773436025e-08;-0.000283084676911;0.0;0.0
0.125;7.0;0.9270065247;-3.01085493791e-05;9.6078850849e-09;-0.00026991724607;0.0;0.0
0.25;7.0;0.926997467659;-3.01161827284e-05;-1.64655932627e-08;-0.000256716773322;0.0;0.0
0.375;7.0;0.927000142785;-3.01002624192e-05;-2.95529494492e-08;-0.000243505865918;0.0;0.0
0.5;7.0;0.92700050739;-3.00488430656e-05;0.0;-0.000230329733718;0.0;0.0
0.625;7.0;0.926999804227;-2.9938717748e-05;-5.37489337253e-08;-0.000217223394472;0.0;0.0
0.75;7.0;0.927000018793;-2.97590149907e-05;-7.28167580336e-08;-0.000204357202456;0.0;0.0
0.875;7.0;0.927000035502;-2.95115873446e-05;-8.32198154301e-08;-0.000191882807785;0.0;0.0
1.0;7.0;0.926999929804;-2.91980625973e-05;-7.72444230314e-08;-0.000179887354767;0.0;0.0
1.125;7.0;0.926999985661;-2.88172906659e-05;-6.82581325594e-08;-0.000168468909259;0.0;0.0
1.25;7.0;0.926999969276;-2.83774049184e-05;-5.11788471755e-08;-0.000157693548834;0.0;0.0
1.375;7.0;0.926999872704;-2.78832491513e-05;-2.60718704338e-08;-0.000147611011553;0.0;0.0
1.5;7.0;0.926999955989;-2.73390761118e-05;0.0;-0.000138254822763;0.0;0.0
1.625;7.0;0.92699995127;-2.67539581485e-05;7.31583241747e-08;-0.000129655221465;0.0;0.0
1.75;7.0;0.926999792988;-2.61391131942e-05;1.37505927103e-07;-0.00012176012067;0.0;0.0
1.875;7.0;0.926999913132;-2.54965918218e-05;2.03134660307e-07;-0.000114515847638;0.0;0.0
2.0;7.0;0.926999955831;-2.48312538026e-05;2.42059420724e-07;-0.000107871394817;0.0;0.0
2.125;7.0;0.926999674726;-2.4142701335e-05;2.82484736515e-07;-0.000101763526226;0.0;0.0
2.25;7.0;0.926999892139;-2.34370112224e-05;2.60195793686e-07;-9.61409012578e-05;0.0;0.0
2.375;7.0;0.927000021252;-2.27192777723e-05;1.73470453912e-07;-9.08930432298e-05;0.0;0.0
2.5;7.0;0.926999205656;-2.19480417577e-05;0.0;-8.61474936006e-05;0.0;0.0
2.67045048712;7.0;0.927000845709;-2.0882427498e-05;1.3510894636e-07;-8.07121535236e-05;0.0;0.0
2.84090097423;7.0;0.926995530172;-1.98380005598e-05;1.46529180014e-07;-7.59860352935e-05;0.0;0.0
3.01135146135;7.0;0.927011022567;-1.8745688626e-05;8.59177625062e-09;-7.1681053413e-05;0.0;0.0
3.18180194847;7.0;0.926967743115;-1.75750423778e-05;-1.52554788184e-07;-6.80775737895e-05;0.0;0.0
3.34090097423;7.0;0.927053799456;-1.63696973605e-05;-1.62467716289e-07;-6.57527285778e-05;0.0;0.0
3.5;7.0;0.927000002831;-1.51406033274e-05;0.0;-6.45421424224e-05;0.0;0.0
3.65909902577;7.0;0.927053799456;-1.39114897408e-05;-1.58490694347e-07;-6.42938935323e-05;0.0;0.0
3.81819805153;7.0;0.926967743115;-1.27064950194e-05;-1.45771784074e-07;-6.51578596522e-05;0.0;0.0
3.98864853865;7.0;0.927011022567;-1.15361620795e-05;1.98171602611e-08;-6.71918041771e-05;0.0;0.0
4.15909902577;7.0;0.926995530172;-1.04439488144e-05;1.57836828841e-07;-6.99227331481e-05;0.0;0.0
4.32954951288;7.0;0.927000845709;-9.39924121226e-06;1.43741636483e-07;-7.306324806e-05;0.0;0.0
4.5;7.0;0.926999205656;-8.32882990828e-06;0.0;-7.69221973081e-05;0.0;0.0
4.625;7.0;0.927000021252;-7.55354190084e-06;1.92951223233e-07;-8.05375103644e-05;0.0;0.0
4.75;7.0;0.926999892139;-6.8349447766e-06;2.92083813898e-07;-8.46596049777e-05;0.0;0.0
4.875;7.0;0.926999674726;-6.128304055e-06;3.23966865561e-07;-8.91443971788e-05;0.0;0.0
5.0;7.0;0.926999955831;-5.4387691107e-06;2.84799383419e-07;-9.41047102421e-05;0.0;0.0
5.125;7.0;0.926999913132;-4.77169370939e-06;2.50450260057e-07;-9.95895229443e-05;0.0;0.0
5.25;7.0;0.926999792988;-4.12700650425e-06;1.78325985122e-07;-0.000105663803497;0.0;0.0
5.375;7.0;0.92699995127;-3.50963242916e-06;1.02005908819e-07;-0.000112368615488;0.0;0.0
5.5;7.0;0.926999955989;-2.91538823761e-06;0.0;-0.000119787376462;0.0;0.0
5.625;7.0;0.926999872704;-2.36133919769e-06;3.91950988203e-09;-0.00012801271495;0.0;0.0
5.75;7.0;0.926999969276;-1.86265000199e-06;-9.01143311204e-09;-0.000136972319708;0.0;0.0
5.875;7.0;0.926999985661;-1.41755626278e-06;-2.23592338645e-08;-0.000146602124954;0.0;0.0
6.0;7.0;0.926999929804;-1.03083683924e-06;-3.76430614445e-08;-0.000156862642518;0.0;0.0
6.125;7.0;0.927000035502;-7.12474741721e-07;-5.30744373432e-08;-0.000167686978541;0.0;0.0
6.25;7.0;0.927000018793;-4.59469525252e-07;-5.40481543068e-08;-0.000178979158614;0.0;0.0
6.375;7.0;0.926999804227;-2.72824741893e-07;-4.80219946208e-08;-0.000190661817964;0.0;0.0
6.5;7.0;0.92700050739;-1.591936203e-07;0.0;-0.000202571777482;0.0;0.0
6.625;7.0;0.927000142785;-1.06141827149e-07;-7.56542196081e-08;-0.000214519184481;0.0;0.0
6.75;7.0;0.926997467659;-8.67399095173e-08;-9.86527875588e-08;-0.000226500213977;0.0;0.0
6.875;7.0;0.9270065247;-9.09177434885e-08;-1.06991615708e-07;-0.000238478032198;0.0;0.0
7.0;7.0;0.926999999996;9.45660545947e-08;-9.44181024189e-08;-0.000250425741569;0.0;0.0
7.125;7.0;0.9270065247;9.09177548331e-08;-1.06991614602e-07;-0.00023847803219;0.0;0.0
7.25;7.0;0.926997467659;8.67399208748e-08;-9.86527867635e-08;-0.000226500213967;0.0;0.0
7.375;7.0;0.927000142785;1.06141838523e-07;-7.5654219132e-08;-0.000214519184468;0.0;0.0
7.5;7.0;0.92700050739;1.59193631748e-07;0.0;-0.000202571777467;0.0;0.0
7.625;7.0;0.926999804227;2.72824753423e-07;-4.80219946147e-08;-0.000190661817948;0.0;0.0
7.75;7.0;0.927000018793;4.59469536843e-07;-5.4048154415e-08;-0.000178979158597;0.0;0.0
