Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
Nr.;Punkt;X;Y;Z;m1;m2;ab [];mT,max,b;vmax,b;bb [];n1;n2;am [];vmax,m
1;1;0.050;-0.050;-3.175;73.87;-14.84;86.87;58.06;591.59;171.99;42.80;-194.91;89.19;247.33
;;;;;-44.84;-155.53;-89.48;8.58;36.33;-105.85;-289.80;-625.21;-87.31;106.68
2;1;0.050;-0.150;-3.200;10.37;-8.26;82.42;23.08;408.40;120.66;-44.86;-157.94;-20.68;215.22
;;;;;-27.48;-63.41;-65.22;8.31;46.94;-166.75;-232.46;-549.22;-84.14;77.05
3;1;0.050;-0.250;-3.224;3.88;-4.72;76.64;11.53;232.16;-122.40;-43.47;-141.10;-26.69;176.39
;;;;;-17.63;-37.39;-73.70;3.64;30.87;-176.90;-165.61;-453.28;-85.13;67.05
4;1;0.050;-0.350;-3.249;2.67;-2.78;83.50;9.92;163.81;175.61;-26.94;-134.38;-26.10;164.45
;;;;;-10.53;-27.66;-86.26;2.20;10.32;-175.26;-131.90;-415.70;-83.07;62.11
5;1;0.050;-0.450;-3.274;2.13;-1.90;86.43;8.42;123.73;174.03;-14.41;-131.55;-26.21;157.40
;;;;;-5.53;-20.51;-89.44;1.19;12.84;-169.30;-119.37;-388.17;-81.36;58.79
6;1;0.050;-0.550;-3.298;2.33;-1.47;86.23;7.23;95.57;159.19;-13.63;-126.04;-27.23;148.93
;;;;;-2.33;-15.56;-87.04;1.05;15.27;-175.45;-107.61;-364.72;-79.77;56.18
7;1;0.050;-0.650;-3.323;3.28;-1.16;86.00;6.31;74.70;151.52;12.42;-120.96;-27.89;138.14
;;;;;-0.43;-11.96;-86.63;0.95;11.15;-166.91;-96.59;-344.32;-78.53;53.42
8;1;0.050;-0.750;-3.348;3.89;-0.91;80.51;5.50;59.38;174.32;12.14;-115.81;-28.64;126.64
;;;;;0.50;-9.22;-86.51;0.93;9.03;-168.19;-85.87;-326.03;-76.61;50.51
9;1;0.050;-0.850;-3.372;4.19;-0.71;85.03;4.87;47.44;167.43;9.41;-115.36;-29.51;122.65
;;;;;0.95;-7.07;-80.21;0.85;6.11;-168.87;-75.26;-308.99;-74.38;52.54
10;1;0.050;-0.950;-3.397;4.22;-0.54;89.54;4.33;37.37;159.68;9.61;-100.73;-26.73;119.56
;;;;;0.96;-5.48;-81.53;0.75;4.80;-169.46;-64.73;-292.31;-71.59;47.27
11;1;0.050;-1.050;-3.422;4.06;-0.40;88.90;3.85;28.85;171.65;10.27;-78.70;-26.70;116.77
;;;;;0.91;-4.55;-89.54;0.65;2.73;-171.12;-54.34;-275.21;-67.79;35.53
12;1;0.050;-1.150;-3.446;3.83;-0.29;-20.15;3.44;21.84;178.45;10.28;-59.39;-26.71;113.82
;;;;;0.82;-3.85;-88.43;0.57;2.71;-176.40;-45.11;-257.03;-61.69;24.97
13;1;0.050;-1.250;-3.471;3.63;-0.20;-20.39;3.10;16.18;175.66;9.91;-44.49;-26.82;110.21
;;;;;0.59;-3.41;-85.76;0.50;2.66;-179.35;-35.81;-237.17;-51.11;19.81
14;1;0.050;-1.350;-3.496;3.12;-0.12;-21.58;2.63;11.72;173.82;9.12;-41.12;-27.10;105.27
;;;;;0.53;-2.86;-84.01;0.41;2.48;-179.59;-26.29;-214.91;-53.48;18.50
15;1;0.050;-1.450;-3.520;2.66;0.10;-23.81;2.27;8.80;171.97;20.46;-37.97;-16.47;99.63
;;;;;0.51;-2.42;-82.50;0.36;2.03;-176.33;-19.54;-191.36;-56.14;17.25
16;1;0.050;-1.550;-3.545;2.47;0.11;-27.13;2.15;6.75;174.72;33.38;-35.82;-15.16;94.67
;;;;;0.54;-2.24;-81.23;0.35;0.51;-179.50;-17.18;-168.72;-59.39;23.02
17;1;0.050;-1.650;-3.570;2.19;0.12;-31.22;1.93;6.97;179.65;46.92;-39.55;-13.64;89.91
;;;;;0.53;-1.99;-85.42;0.32;1.52;-179.73;-15.65;-146.27;-65.32;25.42
18;1;0.050;-1.750;-3.595;2.03;0.12;88.30;1.83;7.36;177.14;61.69;-45.54;13.98;85.55
;;;;;0.37;-1.86;-84.62;0.28;1.21;-174.81;-14.75;-123.68;-71.89;19.95
19;1;0.050;-1.850;-3.619;2.22;0.17;84.10;1.76;7.77;178.59;78.99;-43.29;20.28;82.99
;;;;;0.39;-1.76;-86.33;0.28;1.08;-177.68;-14.60;-107.17;-80.70;17.99
20;1;0.050;-1.950;-3.644;2.63;0.39;23.64;1.71;8.60;176.24;99.63;-39.96;89.23;84.19
;;;;;0.40;-1.74;-84.72;0.28;1.10;-178.65;-14.97;-109.25;-88.13;16.70
