Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-12.84;73.57;9.21;34.21;115.00;35.95;-193.91;131.06
;;;;;-45.06;-155.48;-31.58;-85.49;-589.77;-607.91;-558.46;-97.78
2;1;0.050;-0.150;-3.200;-7.69;6.40;10.16;-22.57;-41.12;-45.99;-122.68;-32.33
;;;;;-41.35;-54.51;-20.52;-228.34;-338.71;-409.55;-548.70;-168.89
3;1;0.050;-0.250;-3.224;-4.46;-2.53;5.05;-16.61;-22.11;-47.54;-90.33;-30.20
;;;;;-31.81;-32.41;-10.35;-164.99;-175.14;-354.19;-451.22;-157.38
4;1;0.050;-0.350;-3.249;-2.72;-2.30;2.77;-7.25;4.75;-39.24;-77.54;-30.66
;;;;;-24.20;-23.19;-7.57;-127.92;-107.90;-318.62;-402.50;-151.99
5;1;0.050;-0.450;-3.274;-0.83;1.65;1.51;2.81;16.79;-36.88;-73.08;-31.06
;;;;;-16.89;-17.00;-6.83;-98.62;-76.57;-289.32;-365.76;-146.48
6;1;0.050;-0.550;-3.298;1.03;1.59;0.94;3.70;22.97;-35.17;-66.59;-31.70
;;;;;-11.82;-12.91;-6.33;-76.80;-59.14;-259.68;-332.70;-139.26
7;1;0.050;-0.650;-3.323;2.12;2.61;-0.62;3.57;24.54;-34.27;-59.62;-33.36
;;;;;-8.26;-10.12;-5.75;-60.58;-47.47;-228.49;-300.66;-130.62
8;1;0.050;-0.750;-3.348;2.74;3.35;-0.58;2.32;23.79;-33.65;-52.50;-33.42
;;;;;-6.12;-8.13;-5.08;-48.06;-38.53;-196.39;-269.25;-120.39
9;1;0.050;-0.850;-3.372;3.01;3.77;-0.49;-2.07;21.60;-31.61;-46.12;-31.99
;;;;;-4.80;-6.64;-4.36;-37.95;-31.05;-164.44;-243.34;-108.60
10;1;0.050;-0.950;-3.397;3.09;3.89;-0.39;-2.22;18.71;-28.83;-43.98;-29.33
;;;;;-3.85;-5.47;-3.65;-29.61;-24.52;-158.31;-244.78;-106.19
11;1;0.050;-1.050;-3.422;3.03;3.79;0.64;-2.40;15.75;-26.48;-42.10;-25.71
;;;;;-3.20;-4.54;-3.00;-22.74;-18.99;-151.64;-242.43;-102.28
12;1;0.050;-1.150;-3.446;2.89;3.57;0.85;-1.64;13.02;-24.35;-40.28;-21.43
;;;;;-2.73;-3.81;-2.45;-17.32;-14.43;-142.66;-235.98;-96.66
13;1;0.050;-1.250;-3.471;2.68;3.31;0.98;2.59;10.27;-22.35;-38.33;-16.96
;;;;;-2.37;-3.27;-2.01;-13.21;-10.50;-131.39;-225.10;-89.54
14;1;0.050;-1.350;-3.496;2.30;2.84;0.98;5.76;7.06;-13.63;-36.13;-12.78
;;;;;-1.98;-2.68;-1.56;-9.77;-6.78;-118.32;-209.04;-81.47
15;1;0.050;-1.450;-3.520;2.04;2.38;0.96;6.25;2.96;20.42;-33.93;-11.09
;;;;;-1.74;-2.20;-1.25;-8.42;-4.20;-105.09;-189.33;-73.05
16;1;0.050;-1.550;-3.545;1.99;2.15;1.00;4.74;1.09;32.74;-35.46;10.47
;;;;;-1.70;-1.99;-1.14;-5.92;-4.42;-91.85;-168.60;-63.74
17;1;0.050;-1.650;-3.570;1.78;1.86;0.96;3.91;0.75;43.32;-39.55;24.24
;;;;;-1.54;-1.74;-1.08;-5.37;-5.39;-77.85;-145.63;-52.96
18;1;0.050;-1.750;-3.595;1.69;1.68;0.96;2.92;2.15;52.12;-37.55;38.44
;;;;;-1.46;-1.59;-1.09;-4.81;-6.28;-63.46;-119.47;-55.11
19;1;0.050;-1.850;-3.619;1.74;1.52;0.97;1.56;3.00;59.32;42.45;53.26
;;;;;-1.43;-1.47;-1.11;-4.67;-6.92;-55.57;-90.12;-58.21
20;1;0.050;-1.950;-3.644;2.22;1.39;0.97;0.32;3.29;64.25;67.03;68.59
;;;;;-1.40;-1.37;-1.13;-4.93;-7.76;-58.49;-89.10;-61.78
21;1;0.150;-0.050;-3.200;3.81;16.20;7.43;190.78;91.97;-55.03;-102.03;158.51
;;;;;-28.75;-47.24;-13.99;-21.02;-180.88;-335.51;-422.58;37.59
22;1;0.150;-0.150;-3.224;-2.63;12.19;1.45;78.92;20.80;-36.21;-95.64;84.88
;;;;;-36.16;-45.46;-4.91;-21.06;-178.46;-302.29;-427.68;-72.17
23;1;0.150;-0.250;-3.248;-3.09;5.34;2.43;32.09;-9.24;-27.07;-81.78;53.75
;;;;;-33.45;-31.45;-5.62;-36.10;-107.39;-271.96;-413.27;-99.16
24;1;0.150;-0.350;-3.272;-2.02;3.16;1.63;9.76;-6.34;-21.78;-67.98;39.55
;;;;;-25.28;-22.58;-4.94;-47.38;-58.09;-246.15;-380.96;-103.89
25;1;0.150;-0.450;-3.296;-1.21;3.73;0.96;-4.08;-3.87;-23.37;-62.73;29.41
;;;;;-18.31;-17.46;-4.52;-39.71;-36.27;-221.08;-353.47;-101.24
26;1;0.150;-0.550;-3.320;1.73;4.71;0.57;-5.00;-2.83;-23.31;-59.34;20.57
;;;;;-13.05;-13.86;-4.26;-31.49;-24.00;-193.73;-327.51;-95.16
27;1;0.150;-0.650;-3.344;2.28;5.26;-0.47;-5.11;-1.81;-22.65;-55.98;-17.11
;;;;;-9.22;-11.26;-3.93;-28.90;-16.79;-164.87;-302.03;-87.09
28;1;0.150;-0.750;-3.368;2.49;5.43;-0.45;-2.77;-1.21;-21.60;-50.60;-14.75
;;;;;-6.49;-9.29;-3.52;-26.05;-12.29;-136.23;-276.75;-77.59
29;1;0.150;-0.850;-3.392;2.47;5.33;-0.39;1.62;-0.81;-20.79;-45.39;-12.72
;;;;;-4.77;-7.72;-3.07;-23.03;-9.22;-132.39;-251.71;-66.99
30;1;0.150;-0.950;-3.416;2.30;5.01;-0.32;4.43;-0.51;-20.06;-40.58;-11.03
;;;;;-3.56;-6.41;-2.63;-19.97;-6.99;-126.65;-227.07;-63.12
31;1;0.150;-1.050;-3.440;2.07;4.56;0.55;6.04;1.99;-18.99;-36.13;-9.69
;;;;;-2.69;-5.30;-2.23;-16.91;-5.35;-119.05;-203.84;-61.28
32;1;0.150;-1.150;-3.464;1.88;4.11;0.73;6.39;3.26;-16.48;-34.32;-10.11
;;;;;-2.13;-4.45;-1.91;-13.85;-4.78;-109.83;-204.20;-58.47
33;1;0.150;-1.250;-3.488;1.74;3.75;0.86;5.91;4.31;25.68;-33.19;-8.99
;;;;;-1.77;-3.84;-1.66;-10.99;-4.68;-98.97;-201.96;-54.67
34;1;0.150;-1.350;-3.512;1.57;3.25;0.91;6.16;2.79;37.48;-31.94;-7.92
;;;;;-1.50;-3.20;-1.42;-9.37;-3.30;-87.57;-195.61;-50.09
35;1;0.150;-1.450;-3.536;1.58;2.78;0.97;6.11;1.26;49.34;-30.55;17.97
;;;;;-1.45;-2.68;-1.29;-8.23;-3.73;-75.68;-185.50;-53.02
36;1;0.150;-1.550;-3.560;1.54;2.29;0.95;4.81;1.36;59.90;-28.97;29.21
;;;;;-1.39;-2.19;-1.14;-6.30;-3.38;-61.61;-171.19;-55.97
37;1;0.150;-1.650;-3.585;1.47;1.88;0.90;2.97;0.72;68.91;-27.52;41.43
;;;;;-1.32;-1.78;-1.00;-5.01;-3.12;-60.73;-154.51;-58.65
